rowname	Order	Family	Genus	source	mapping	mapping2	color
Escherichia~phage~flopper	Caudovirales	Chaseviridae	Carltongylesvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~fp01	Caudovirales	Demerecviridae	Tequintavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~ime09	Caudovirales	Myoviridae	T4virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~mEp234	Caudovirales	Siphoviridae	Hk97virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~mEpX1	Caudovirales	Siphoviridae	Hk97virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~mEpX2	Caudovirales	Siphoviridae	Hk97virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~phAPEC8	Caudovirales	Myoviridae	Phapecoctavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~phi191	Caudovirales	Podoviridae	Tl2011virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~phiK	Petitvirales	Microviridae	Alpha3microvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~phiKT	Caudovirales	Autographiviridae	Ermolevavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~phiLLS	Caudovirales	Demerecviridae	Tequintavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~phiV10	Caudovirales	Podoviridae	Epsilon15virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~pro147	Caudovirales	Myoviridae	Peduovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~pro483	Caudovirales	Myoviridae	Peduovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~saus132	Caudovirales	Demerecviridae	Epseptimavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur01	Caudovirales	Siphoviridae	Seuratvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur02	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur03	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur04	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur05	Caudovirales	Siphoviridae	Dhillonvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur07	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur09	Caudovirales	Siphoviridae	T5virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~slur14	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM-12474III	Caudovirales	Myoviridae	Peduovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM-UFV13	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM-VpaE1	Caudovirales	Myoviridae	Felixo1virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM-ep3	Caudovirales	Myoviridae	Cvm10virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_112	Caudovirales	Myoviridae	T4virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_ACG-C40	Caudovirales	Myoviridae	T4virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_AYO145A	Caudovirales	Myoviridae	Felixo1virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_Alf5	Caudovirales	Myoviridae	Felixounavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_ECO1230-10	Caudovirales	Myoviridae	Cvm10virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_ECOO78	Caudovirales	Myoviridae	Jilinvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_Goslar	Caudovirales	Myoviridae	Goslarvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_JS09	Caudovirales	Myoviridae	Rb69virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_KWBSE43-6	Caudovirales	Ackermannviridae	Taipeivirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_PhAPEC2	Caudovirales	Myoviridae	Mosigvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_Schickermooser	Caudovirales	Myoviridae	Phapecoctavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_VR20	Caudovirales	Myoviridae	Sp18virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_VR25	Caudovirales	Myoviridae	Sp18virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_VR26	Caudovirales	Myoviridae	Sp18virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoM_VR7	Caudovirales	Myoviridae	Sp18virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP-Ro45lw	Caudovirales	Autographiviridae	Kayfunavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_24B	Caudovirales	Podoviridae	Nona33virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_B	Caudovirales	Autographiviridae	Vectrevirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_C	Caudovirales	Autographiviridae	Vectrevirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_F	Caudovirales	Autographiviridae	Kayfunavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_G7C	Caudovirales	Podoviridae	G7cvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_GA2A	Caudovirales	Autographiviridae	Kayfunavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_K	Caudovirales	Autographiviridae	Vectrevirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_PhAPEC5	Caudovirales	Podoviridae	G7cvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_PhAPEC7	Caudovirales	Podoviridae	G7cvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_S523	Caudovirales	Autographiviridae	Berlinvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoP_SU10	Caudovirales	Podoviridae	Phieco32virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoS-95	Caudovirales	Drexlerviridae	Warwickvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoS_AKFV33	Caudovirales	Siphoviridae	T5virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoS_ESCO41	Caudovirales	Drexlerviridae	Nouzillyvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoS_FFH_1	Caudovirales	Siphoviridae	T5virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoS_HdH2	Caudovirales	Demerecviridae	Tequintavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_EcoS_SH2	Caudovirales	Drexlerviridae	Tunavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vB_Eco_swan01	Caudovirales	Drexlerviridae	Warwickvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~vb_EcoM-VR5	Caudovirales	Myoviridae	Js98virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~wV7	Caudovirales	Myoviridae	Tequatrovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~phage~wV8	Caudovirales	Myoviridae	Felixo1virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~typing~phage~1	Caudovirales	Myoviridae	Felixo1virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~AAPEc6	Caudovirales	Autographiviridae	Vectrevirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~BZ13	Levivirales	Leviviridae	Levivirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~CBA120	Caudovirales	Ackermannviridae	Cba120virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~DT57C	Caudovirales	Siphoviridae	T5virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~EPS7	Caudovirales	Siphoviridae	T5virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~FI	Levivirales	Leviviridae	Allolevivirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~HK022	Caudovirales	Siphoviridae	Hk97virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~HK97	Caudovirales	Siphoviridae	Hk97virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~I22	Tubulavirales	Inoviridae	Lineavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~JL1	Caudovirales	Siphoviridae	Hk578virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~K1-5	Caudovirales	Podoviridae	Sp6virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~K1E	Caudovirales	Podoviridae	Sp6virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~Lambda	Caudovirales	Siphoviridae	Lambdavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~M13	Tubulavirales	Inoviridae	Inovirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~N15	Caudovirales	Siphoviridae	N15virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~N4	Caudovirales	Podoviridae	N4virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~P1	Caudovirales	Myoviridae	P1virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~P2	Caudovirales	Myoviridae	P2virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~Qbeta	Levivirales	Leviviridae	Allolevivirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~RB14	Caudovirales	Myoviridae	T4virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~RB16	Caudovirales	Myoviridae	Unassigned	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~RB32	Caudovirales	Myoviridae	Unassigned	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~RB43	Caudovirales	Myoviridae	Unassigned	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~SSL2009a	Caudovirales	Siphoviridae	Hk578virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~T1	Caudovirales	Siphoviridae	T1virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~T4	Caudovirales	Myoviridae	T4virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~T5	Caudovirales	Siphoviridae	T5virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~TLS	Caudovirales	Siphoviridae	Tlsvirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~VEc3	Caudovirales	Autographiviridae	Vectrevirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~VEc33	Caudovirales	Demerecviridae	Tequintavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~Vec13	Caudovirales	Autographiviridae	Kayfunavirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~mutPK1A2	Caudovirales	Autographiviridae	Vectrevirus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~phiEco32	Caudovirales	Podoviridae	Phieco32virus	vConTact2	Escherichia	Escherichia	#F0027F
Escherichia~virus~phiX174	Petitvirales	Microviridae	Phix174microvirus	vConTact2	Escherichia	Escherichia	#F0027F
Faecalibacterium~phage~FP_Epona	Caudovirales	Myoviridae	Eponavirus	vConTact2	Faecalibacterium	Others	#66A61E
Faecalibacterium~phage~FP_Lugh	Caudovirales	Siphoviridae	Lughvirus	vConTact2	Faecalibacterium	Others	#66A61E
Faecalibacterium~phage~FP_Mushu	Caudovirales	Myoviridae	Mushuvirus	vConTact2	Faecalibacterium	Others	#66A61E
Faecalibacterium~phage~FP_Taranis	Caudovirales	Myoviridae	Taranisvirus	vConTact2	Faecalibacterium	Others	#66A61E
Faecalibacterium~phage~FP_Toutatis	Caudovirales	Myoviridae	Toutatisvirus	vConTact2	Faecalibacterium	Others	#66A61E
Flavobacterium~phage~1H	Caudovirales	Siphoviridae	Unahavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~23T	Caudovirales	Siphoviridae	Unahavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~2A	Caudovirales	Siphoviridae	Unahavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~6H	Caudovirales	Siphoviridae	Unahavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~FCL-2	Caudovirales	Myoviridae	Ficleduovirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~FCV-1	Caudovirales	Myoviridae	Ficleduovirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~FpV4	Caudovirales	Podoviridae	Fipvunavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv1	Caudovirales	Podoviridae	Fipvunavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv10	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv11	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv2	Caudovirales	Podoviridae	Fipvunavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv20	Caudovirales	Podoviridae	Fipvunavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv3	Caudovirales	Podoviridae	Fipvunavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv5	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv6	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv7	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~Fpv8	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspM_lotta8-1	Caudovirales	Myoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspM_pippi8-1	Caudovirales	Myoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_filifjonk9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_hattifnatt9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_hemulen6-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_laban6-1	Caudovirales	Siphoviridae	Unahavirus	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_lillamy9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_morran9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_mumin9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_mymlan6-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_sniff9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_snork6-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_snusmum6-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_stinky9-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Flavobacterium~phage~vB_FspS_tooticki6-1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Flavobacterium	Others	#66A61E
Geobacillus~phage~GBK2	Caudovirales	Siphoviridae	Unassigned	vConTact2	Geobacillus	Others	#66A61E
Geobacillus~phage~TP-84	Caudovirales	Siphoviridae	Tp84virus	vConTact2	Geobacillus	Others	#66A61E
Gordonia~phage~Adgers	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Apricot	Caudovirales	Siphoviridae	Apricotvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Asapag	Caudovirales	Siphoviridae	Getalongvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Attis	Caudovirales	Siphoviridae	Attisvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Avazak	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~BENtherdunthat	Caudovirales	Siphoviridae	Getalongvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Bachita	Caudovirales	Siphoviridae	Smoothievirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Bantam	Caudovirales	Siphoviridae	Bantamvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~BaxterFox	Caudovirales	Siphoviridae	Baxtervirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Beaver	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~BetterKatz	Caudovirales	Siphoviridae	Betterkatzvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~BirksAndSocks	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Blueberry	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Bowser	Caudovirales	Siphoviridae	Bowservirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Brandonk123	Caudovirales	Siphoviridae	Vividuovirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~BrutonGaster	Caudovirales	Siphoviridae	Oneupvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~CaptainKirk2	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~CarolAnn	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Chelms	Caudovirales	Siphoviridae	Woesvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Chikenjars	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~ClubL	Caudovirales	Siphoviridae	Smoothievirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Cozz	Caudovirales	Siphoviridae	Emalynvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Crocheter	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Cucurbita	Caudovirales	Siphoviridae	Smoothievirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Daredevil	Caudovirales	Siphoviridae	Daredevilvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Duffington	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Emalyn	Caudovirales	Siphoviridae	Emalynvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Fairfaxidum	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Flakey	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Fryberger	Caudovirales	Siphoviridae	Ronaldovirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GMA1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GMA5	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GMA7	Caudovirales	Siphoviridae	Getseptimavirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GRU1	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GRU3	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GTE2	Caudovirales	Siphoviridae	Emalynvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GTE5	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GTE6	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GTE7	Caudovirales	Siphoviridae	Getseptimavirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GTE8	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Getalong	Caudovirales	Siphoviridae	Getalongvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Gibbin	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~GodonK	Caudovirales	Siphoviridae	Godonkavirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Gsput1	Caudovirales	Siphoviridae	Gesputvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Guacamole	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Gustav	Caudovirales	Siphoviridae	Gustavvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Hedwig	Caudovirales	Siphoviridae	Hedwigvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Horus	Caudovirales	Siphoviridae	Horusvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Hotorobo	Caudovirales	Siphoviridae	Woesvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Jellybones	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~John316	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Kenna	Caudovirales	Siphoviridae	Getalongvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Kenosha	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Kita	Caudovirales	Siphoviridae	Nymphadoravirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Lambo	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Lennon	Caudovirales	Siphoviridae	Vividuovirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Mahdia	Caudovirales	Siphoviridae	Gustavvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~McGonagall	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Monty	Caudovirales	Siphoviridae	Woesvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Nyceirae	Caudovirales	Siphoviridae	Nyceiraevirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Nymphadora	Caudovirales	Siphoviridae	Nymphadoravirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Obliviate	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~OhMyWard	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~OneUp	Caudovirales	Siphoviridae	Smoothievirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Phinally	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Phistory	Caudovirales	Siphoviridae	Phistoryvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Ranch	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Rickmore	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Ronaldo	Caudovirales	Siphoviridae	Ronaldovirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Ruthy	Caudovirales	Siphoviridae	Ruthyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Sadboi	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Schnabeltier	Caudovirales	Siphoviridae	Schnabeltiervirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Secretariat	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Smoothie	Caudovirales	Siphoviridae	Smoothievirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~SoilAssassin	Caudovirales	Siphoviridae	Attisvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Sombrero	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Sour	Caudovirales	Siphoviridae	Sourvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Splinter	Caudovirales	Siphoviridae	Vendettavirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~SteveFrench	Caudovirales	Siphoviridae	Montyvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Suzy	Caudovirales	Siphoviridae	Terapinvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Tanis	Caudovirales	Siphoviridae	Unassigned	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Terapin	Caudovirales	Siphoviridae	Terapinvirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Trine	Caudovirales	Siphoviridae	Trinevirus	vConTact2	Gordonia	Gordonia	#BF5B17
Gordonia~phage~Troje	Caudovirales	Siphoviridae	Emalynvirus	vConTact2	Gordonia	Gordonia	#BF5B17
