""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID"	"koID"
"g001314"	"g001314"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00834"	"GCF_000177575:NZ_ADGR01000125.1:4241-6784"	"Chromosome partition protein Smc"	""	NA	"g001346"	"K03529"
"g001315"	"g001315"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00835"	"GCF_000177575:NZ_ADGR01000125.1:7057-7809"	"Chromosome partition protein Smc"	""	NA	"g001347"	"K03529"
"g001316"	"g001316"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00837"	"GCF_000177575:NZ_ADGR01000125.1:9153-10526"	"Dipeptidase A"	"3.4.-.-"	NA	"g001348"	""
"g001317"	"g001317"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00858"	"GCF_000177575:NZ_ADGR01000125.1:30146-29340"	"Cyclopropane-fatty-acyl-phospholipid synthase"	"2.1.1.79"	NA	"g001343"	"K00574"
"g001318"	"g001318"	"0.00323426573426573"	0	1	0.222222222222222	1	"GCF_000177575:CEHOCBHH_00859"	"GCF_000177575:NZ_ADGR01000125.1:30518-30192"	"hypothetical protein"	""	NA	"g001344"	""
"g001319"	"g001319"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00860"	"GCF_000177575:NZ_ADGR01000125.1:31245-30631"	"1-acyl-sn-glycerol-3-phosphate acyltransferase"	"2.3.1.-"	NA	"g001345"	"K00655"
"g001320"	"g001320"	"0.475"	1	1	0.777777777777778	1	"GCF_000177575:CEHOCBHH_00900"	"GCF_000177575:NZ_ADGR01000122.1:242-514"	"hypothetical protein"	""	NA	"g001341"	""
"g001321"	"g001321"	"1"	1	1	0.666666666666667	0.571428571428571	"GCF_000177575:CEHOCBHH_00930"	"GCF_000177575:NZ_ADGR01000116.1:13352-12939"	"hypothetical protein"	""	NA	"g001340"	""
"g001322"	"g001322"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00944"	"GCF_000177575:NZ_ADGR01000115.1:2444-2313"	"hypothetical protein"	""	NA	"g001339"	""
"g001323"	"g001323"	"0.261538461538462"	0	0	0.888888888888889	0.571428571428571	"GCF_000177575:CEHOCBHH_00945"	"GCF_000177575:NZ_ADGR01000114.1:42-713"	"hypothetical protein"	""	NA	"g001338"	""
"g001324"	"g001324"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00976"	"GCF_000177575:NZ_ADGR01000112.1:26160-25225"	"hypothetical protein"	""	NA	"g001330"	""
"g001325"	"g001325"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00977"	"GCF_000177575:NZ_ADGR01000112.1:26951-26271"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	"5.4.2.11"	NA	"g001331"	"K01834"
"g001326"	"g001326"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00978"	"GCF_000177575:NZ_ADGR01000112.1:27145-26963"	"hypothetical protein"	""	NA	"g001332"	""
"g001327"	"g001327"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00979"	"GCF_000177575:NZ_ADGR01000112.1:28053-27154"	"Cadmium, cobalt and zinc/H(+)-K(+) antiporter"	""	NA	"g001333"	"K16264"
"g001328"	"g001328"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00980"	"GCF_000177575:NZ_ADGR01000112.1:28794-28114"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	"5.4.2.11"	NA	"g001334"	"K01834"
"g001329"	"g001329"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00981"	"GCF_000177575:NZ_ADGR01000112.1:29595-28837"	"hypothetical protein"	""	NA	"g001335"	""
"g001330"	"g001330"	"1"	0	1	0.111111111111111	0.142857142857143	"GCF_000177575:CEHOCBHH_00982"	"GCF_000177575:NZ_ADGR01000112.1:29670-30329"	"hypothetical protein"	""	NA	"g001336"	""
"g001331"	"g001331"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00985"	"GCF_000177575:NZ_ADGR01000112.1:31804-31430"	"hypothetical protein"	""	NA	"g001337"	""
"g001332"	"g001332"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_00998"	"GCF_000177575:NZ_ADGR01000108.1:5462-4095"	"Branched-chain amino acid transport system 2 carrier protein"	""	NA	"g001329"	"K03311"
"g001333"	"g001333"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01004"	"GCF_000177575:NZ_ADGR01000107.1:4223-4489"	"hypothetical protein"	""	NA	"g001327"	""
"g001334"	"g001334"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01005"	"GCF_000177575:NZ_ADGR01000107.1:4969-6246"	"hypothetical protein"	""	NA	"g001328"	""
"g001335"	"g001335"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01035"	"GCF_000177575:NZ_ADGR01000102.1:6543-6115"	"hypothetical protein"	""	NA	"g001324"	""
"g001336"	"g001336"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01037"	"GCF_000177575:NZ_ADGR01000102.1:7456-7235"	"Signal transduction histidine-protein kinase ArlS"	"2.7.13.3"	NA	"g001325"	"K18940"
"g001337"	"g001337"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01038"	"GCF_000177575:NZ_ADGR01000102.1:8005-7460"	"hypothetical protein"	""	NA	"g001326"	""
"g001338"	"g001338"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01081"	"GCF_000177575:NZ_ADGR01000099.1:16856-13377"	"ATP-dependent helicase/deoxyribonuclease subunit B"	"3.1.-.-"	NA	"g001323"	"K16899"
"g001339"	"g001339"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01110"	"GCF_000177575:NZ_ADGR01000097.1:8027-9337"	"Guanine/hypoxanthine permease PbuG"	""	NA	"g001322"	"K06901"
"g001340"	"g001340"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01114"	"GCF_000177575:NZ_ADGR01000097.1:11047-11487"	"Transcriptional repressor CopY"	""	NA	"g001318"	""
"g001341"	"g001341"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01121"	"GCF_000177575:NZ_ADGR01000097.1:17101-16952"	"hypothetical protein"	""	NA	"g001319"	""
"g001342"	"g001342"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01143"	"GCF_000177575:NZ_ADGR01000097.1:41244-43724"	"DNA gyrase subunit A"	"5.6.2.2"	NA	"g001320"	"K02469"
"g001343"	"g001343"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01156"	"GCF_000177575:NZ_ADGR01000097.1:55922-54693"	"hypothetical protein"	""	NA	"g001321"	""
"g001344"	"g001344"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01168"	"GCF_000177575:NZ_ADGR01000096.1:6334-5588"	"Lichenan permease IIC component"	""	NA	"g001317"	"K02761"
"g001345"	"g001345"	"1"	0	0	0.888888888888889	1	"GCF_000177575:CEHOCBHH_01173"	"GCF_000177575:NZ_ADGR01000096.1:10171-9398"	"Methylthioribulose-1-phosphate dehydratase"	"4.2.1.109"	NA	"g001314"	""
"g001346"	"g001346"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01176"	"GCF_000177575:NZ_ADGR01000096.1:12200-11880"	"hypothetical protein"	""	NA	"g001315"	""
"g001347"	"g001347"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01181"	"GCF_000177575:NZ_ADGR01000096.1:15973-16263"	"hypothetical protein"	""	NA	"g001316"	""
"g001348"	"g001348"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01193"	"GCF_000177575:NZ_ADGR01000094.1:4153-5535"	"Protein UshA"	""	NA	"g001313"	"K11751"
"g001349"	"g001349"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01199"	"GCF_000177575:NZ_ADGR01000093.1:63-1280"	"IS4 family transposase ISLre1"	""	NA	"g001312"	""
"g001350"	"g001350"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01201"	"GCF_000177575:NZ_ADGR01000092.1:2228-1611"	"Glutamine transport system permease protein GlnP"	""	NA	"g001311"	"K10037"
"g001351"	"g001351"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01210"	"GCF_000177575:NZ_ADGR01000090.1:6899-5544"	"Beta-galactosidase large subunit"	"3.2.1.23"	NA	"g001310"	""
"g001352"	"g001352"	"1"	1	0	0.777777777777778	0.857142857142857	"GCF_000177575:CEHOCBHH_01213"	"GCF_000177575:NZ_ADGR01000088.1:627-202"	"Ribonucleoside-diphosphate reductase subunit alpha"	"1.17.4.1"	NA	"g001309"	"K00525"
"g001353"	"g001353"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01214"	"GCF_000177575:NZ_ADGR01000088.1:2165-615"	"Ribonucleoside-diphosphate reductase subunit alpha 2"	"1.17.4.1"	NA	"g001307"	"K00525"
"g001354"	"g001354"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01215"	"GCF_000177575:NZ_ADGR01000088.1:2583-2158"	"Protein NrdI"	""	NA	"g001308"	"K03647"
"g001355"	"g001355"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01264"	"GCF_000177575:NZ_ADGR01000085.1:19784-20581"	"Inner membrane ABC transporter permease protein YdcV"	""	NA	"g001305"	"K02053"
"g001356"	"g001356"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01271"	"GCF_000177575:NZ_ADGR01000085.1:28950-28516"	"putative HTH-type transcriptional regulator"	""	NA	"g001306"	""
"g001357"	"g001357"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01290"	"GCF_000177575:NZ_ADGR01000084.1:8761-9861"	"Ribosome-binding ATPase YchF"	""	NA	"g001304"	"K06942"
"g001358"	"g001358"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01309"	"GCF_000177575:NZ_ADGR01000084.1:28672-28547"	"hypothetical protein"	""	NA	"g001303"	""
"g001359"	"g001359"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01373"	"GCF_000177575:NZ_ADGR01000079.1:4863-4576"	"hypothetical protein"	""	NA	"g001302"	""
"g001360"	"g001360"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01379"	"GCF_000177575:NZ_ADGR01000079.1:10086-9706"	"hypothetical protein"	""	NA	"g001301"	""
"g001361"	"g001361"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01394"	"GCF_000177575:NZ_ADGR01000078.1:16417-16181"	"hypothetical protein"	""	NA	"g001300"	""
"g001362"	"g001362"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01435"	"GCF_000177575:NZ_ADGR01000072.1:5213-4068"	"putative protein YhaP"	""	NA	"g001299"	"K01992"
"g001363"	"g001363"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01451"	"GCF_000177575:NZ_ADGR01000071.1:9061-6437"	"Aldehyde-alcohol dehydrogenase"	""	NA	"g001298"	"K04072"
"g001364"	"g001364"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01467"	"GCF_000177575:NZ_ADGR01000069.1:11858-11619"	"Protein NrdI"	""	NA	"g001297"	""
"g001365"	"g001365"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01480"	"GCF_000177575:NZ_ADGR01000068.1:207-443"	"hypothetical protein"	""	NA	"g001296"	""
"g001366"	"g001366"	"1"	1	1	1	1	"GCF_000177575:CEHOCBHH_01502"	"GCF_000177575:NZ_ADGR01000066.1:11309-11512"	"hypothetical protein"	""	NA	"g001291"	""
"g001367"	"g001367"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01506"	"GCF_000177575:NZ_ADGR01000066.1:13705-13106"	"hypothetical protein"	""	NA	"g001292"	""
"g001368"	"g001368"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01507"	"GCF_000177575:NZ_ADGR01000066.1:13838-14155"	"hypothetical protein"	""	NA	"g001293"	""
"g001369"	"g001369"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01512"	"GCF_000177575:NZ_ADGR01000066.1:16213-16587"	"hypothetical protein"	""	NA	"g001294"	""
"g001370"	"g001370"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01513"	"GCF_000177575:NZ_ADGR01000066.1:16594-16830"	"hypothetical protein"	""	NA	"g001295"	""
"g001371"	"g001371"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01520"	"GCF_000177575:NZ_ADGR01000064.1:213-1109"	"hypothetical protein"	""	NA	"g001289"	""
"g001372"	"g001372"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01535"	"GCF_000177575:NZ_ADGR01000064.1:14999-13704"	"hypothetical protein"	""	NA	"g001288"	""
"g001373"	"g001373"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01544"	"GCF_000177575:NZ_ADGR01000064.1:26262-24862"	"Phosphoenolpyruvate synthase"	"2.7.9.2"	NA	"g001290"	"K01007"
"g001374"	"g001374"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01568"	"GCF_000177575:NZ_ADGR01000062.1:24755-25273"	"33 kDa chaperonin"	""	NA	"g001281"	"K04083"
"g001375"	"g001375"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01570"	"GCF_000177575:NZ_ADGR01000062.1:26393-27943"	"Lysine--tRNA ligase"	"6.1.1.6"	NA	"g001282"	"K04567"
"g001376"	"g001376"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01574"	"GCF_000177575:NZ_ADGR01000062.1:28977-29052"	"tRNA-Pro(cgg)"	""	NA	"g001283"	NA
"g001377"	"g001377"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01575"	"GCF_000177575:NZ_ADGR01000062.1:29126-29581"	"Free methionine-R-sulfoxide reductase"	"1.8.4.14"	NA	"g001284"	"K08968"
"g001378"	"g001378"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01598"	"GCF_000177575:NZ_ADGR01000062.1:50436-50834"	"30S ribosomal protein S8"	""	NA	"g001285"	"K02994"
"g001379"	"g001379"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01612"	"GCF_000177575:NZ_ADGR01000062.1:57721-58572"	"Energy-coupling factor transporter ATP-binding protein EcfA1"	"7.-.-.-"	NA	"g001286"	"K16786"
"g001380"	"g001380"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01613"	"GCF_000177575:NZ_ADGR01000062.1:58599-59393"	"Energy-coupling factor transporter ATP-binding protein EcfA2"	"3.6.3.-"	NA	"g001287"	"K16787"
"g001381"	"g001381"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01625"	"GCF_000177575:NZ_ADGR01000060.1:1140-31"	"Glutathione-regulated potassium-efflux system protein KefB"	""	NA	"g001279"	""
"g001382"	"g001382"	"1"	1	1	1	1	"GCF_000177575:CEHOCBHH_01628"	"GCF_000177575:NZ_ADGR01000060.1:4106-3855"	"hypothetical protein"	""	NA	"g001280"	""
"g001383"	"g001383"	"1"	1	1	0.333333333333333	0.428571428571429	"GCF_000177575:CEHOCBHH_01640"	"GCF_000177575:NZ_ADGR01000059.1:8498-8740"	"Exodeoxyribonuclease 7 small subunit"	"3.1.11.6"	NA	"g001278"	"K03602"
"g001384"	"g001384"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01660"	"GCF_000177575:NZ_ADGR01000059.1:28146-29147"	"Phosphate acyltransferase"	"2.3.1.274"	NA	"g001276"	"K03621"
"g001385"	"g001385"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01661"	"GCF_000177575:NZ_ADGR01000059.1:29178-29420"	"Acyl carrier protein"	""	NA	"g001277"	"K02078"
"g001386"	"g001386"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01677"	"GCF_000177575:NZ_ADGR01000055.1:528-1256"	"hypothetical protein"	""	NA	"g001275"	""
"g001387"	"g001387"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01776"	"GCF_000177575:NZ_ADGR01000050.1:2632-1511"	"hypothetical protein"	""	NA	"g001273"	""
"g001388"	"g001388"	"1"	1	1	1	1	"GCF_000177575:CEHOCBHH_01782"	"GCF_000177575:NZ_ADGR01000050.1:4712-4116"	"hypothetical protein"	""	NA	"g001274"	""
"g001389"	"g001389"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01790"	"GCF_000177575:NZ_ADGR01000049.1:1934-291"	"Phosphoribosylamine--glycine ligase"	"6.3.4.13"	NA	"g001272"	""
"g001390"	"g001390"	"0.261538461538462"	0	0	0.111111111111111	0.428571428571429	"GCF_000177575:CEHOCBHH_01800"	"GCF_000177575:NZ_ADGR01000047.1:3007-2336"	"hypothetical protein"	""	NA	"g001271"	""
"g001391"	"g001391"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01830"	"GCF_000177575:NZ_ADGR01000044.1:23458-23186"	"Regulatory protein MgsR"	""	NA	"g001270"	"K00537"
"g001392"	"g001392"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01838"	"GCF_000177575:NZ_ADGR01000043.1:539-2158"	"hypothetical protein"	""	NA	"g001269"	""
"g001393"	"g001393"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01842"	"GCF_000177575:NZ_ADGR01000042.1:1622-1143"	"hypothetical protein"	""	NA	"g001268"	""
"g001394"	"g001394"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01853"	"GCF_000177575:NZ_ADGR01000039.1:373-14"	"IS982 family transposase ISLh1"	""	NA	"g001267"	""
"g001395"	"g001395"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01874"	"GCF_000177575:NZ_ADGR01000036.1:1663-437"	"hypothetical protein"	""	NA	"g001265"	""
"g001396"	"g001396"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01875"	"GCF_000177575:NZ_ADGR01000036.1:2957-1905"	"Alpha-hemolysin translocation ATP-binding protein HlyB"	""	NA	"g001266"	""
"g001397"	"g001397"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01904"	"GCF_000177575:NZ_ADGR01000034.1:21253-19781"	"hypothetical protein"	""	NA	"g001262"	""
"g001398"	"g001398"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01914"	"GCF_000177575:NZ_ADGR01000034.1:26596-26282"	"hypothetical protein"	""	NA	"g001263"	""
"g001399"	"g001399"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01933"	"GCF_000177575:NZ_ADGR01000034.1:34059-34457"	"hypothetical protein"	""	NA	"g001264"	""
"g001400"	"g001400"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01938"	"GCF_000177575:NZ_ADGR01000033.1:406-549"	"hypothetical protein"	""	NA	"g001261"	""
"g001401"	"g001401"	"1"	1	1	0.888888888888889	1	"GCF_000177575:CEHOCBHH_01974"	"GCF_000177575:NZ_ADGR01000030.1:1148-72"	"IS110 family transposase ISLhe4"	""	NA	"g001260"	""
"g001402"	"g001402"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01976"	"GCF_000177575:NZ_ADGR01000027.1:6-269"	"hypothetical protein"	""	NA	"g001259"	""
"g001403"	"g001403"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_01977"	"GCF_000177575:NZ_ADGR01000026.1:210-437"	"hypothetical protein"	""	NA	"g001258"	""
"g001404"	"g001404"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_02000"	"GCF_000177575:NZ_ADGR01000023.1:3119-2376"	"Acetyl-CoA acetyltransferase"	"2.3.1.9"	NA	"g001256"	"K00626"
"g001405"	"g001405"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_02001"	"GCF_000177575:NZ_ADGR01000023.1:3538-3128"	"Acetyl-CoA acetyltransferase"	"2.3.1.9"	NA	"g001257"	"K00626"
"g001406"	"g001406"	"1"	1	1	1	1	"GCF_000177575:CEHOCBHH_02009"	"GCF_000177575:NZ_ADGR01000019.1:108-740"	"hypothetical protein"	""	NA	"g001255"	""
"g001407"	"g001407"	"1"	1	1	1	1	"GCF_000177575:CEHOCBHH_02026"	"GCF_000177575:NZ_ADGR01000015.1:134-379"	"hypothetical protein"	""	NA	"g001254"	""
"g001408"	"g001408"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_02045"	"GCF_000177575:NZ_ADGR01000012.1:12-593"	"hypothetical protein"	""	NA	"g001252"	""
"g001409"	"g001409"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_02046"	"GCF_000177575:NZ_ADGR01000012.1:590-949"	"hypothetical protein"	""	NA	"g001253"	""
"g001410"	"g001410"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_02073"	"GCF_000177575:NZ_ADGR01000011.1:26822-28468"	"Lipid II flippase MurJ"	""	NA	"g001251"	"K03328"
"g001411"	"g001411"	"1"	0	0	0	0	"GCF_000177575:CEHOCBHH_02086"	"GCF_000177575:NZ_ADGR01000008.1:6725-5988"	"Lactose permease"	""	NA	"g001250"	""
"g001412"	"g001412"	"0.0884615384615385"	1	0	0.444444444444444	0	"GCF_000177575:CEHOCBHH_02101"	"GCF_000177575:NZ_ADGR01000005.1:322-1374"	"hypothetical protein"	""	NA	"g001249"	""
"g001413"	"g001413"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00002"	"GCF_000301115:NZ_JH932287.1:4215-2665"	"Nucleotide-binding protein ExpZ"	""	NA	"g001405"	"K18231"
"g001414"	"g001414"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00011"	"GCF_000301115:NZ_JH932287.1:11874-11764"	"hypothetical protein"	""	NA	"g001399"	""
"g001415"	"g001415"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00078"	"GCF_000301115:NZ_JH932287.1:78344-78985"	"IS110 family transposase ISLhe4"	""	NA	"g001412"	""
"g001416"	"g001416"	"1"	1	0	0.888888888888889	1	"GCF_000301115:JFDAGFHO_00132"	"GCF_000301115:NZ_JH932287.1:137175-135748"	"Cell division protein FtsA"	""	NA	"g001400"	"K03590"
"g001417"	"g001417"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00255"	"GCF_000301115:NZ_JH932287.1:250811-250884"	"tRNA-Arg(ccg)"	""	NA	"g001401"	NA
"g001418"	"g001418"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00309"	"GCF_000301115:NZ_JH932287.1:311662-310301"	"Phosphoenolpyruvate-protein phosphotransferase"	"2.7.3.9"	NA	"g001402"	""
"g001419"	"g001419"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00377"	"GCF_000301115:NZ_JH932287.1:382914-382336"	"Putative HMP/thiamine permease protein YkoE"	""	NA	"g001403"	"K16925"
"g001420"	"g001420"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00390"	"GCF_000301115:NZ_JH932287.1:397696-398568"	"Putative metabolite transport protein YjhB"	""	NA	"g001404"	""
"g001421"	"g001421"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00428"	"GCF_000301115:NZ_JH932287.1:446688-443875"	"Calcium-transporting ATPase 1"	"7.2.2.10"	NA	"g001406"	"K01537"
"g001422"	"g001422"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00452"	"GCF_000301115:NZ_JH932287.1:469058-468985"	"tRNA-Gln(ttg)"	""	NA	"g001407"	NA
"g001423"	"g001423"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00561"	"GCF_000301115:NZ_JH932287.1:577340-576876"	"N-alpha-acetyltransferase RimI"	"2.3.1.255"	NA	"g001408"	"K03789"
"g001424"	"g001424"	"8.74125874125873e-05"	1	0	1	0	"GCF_000301115:JFDAGFHO_00584"	"GCF_000301115:NZ_JH932287.1:591860-591171"	"Phosphate-binding protein PstS 1"	""	NA	"g001409"	"K02040"
"g001425"	"g001425"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00623"	"GCF_000301115:NZ_JH932287.1:623662-622247"	"Ascorbate-specific PTS system EIIC component"	""	NA	"g001410"	"K03475"
"g001426"	"g001426"	"8.74125874125873e-05"	1	0	1	0	"GCF_000301115:JFDAGFHO_00624"	"GCF_000301115:NZ_JH932287.1:623826-624683"	"IS982 family transposase ISLhe7"	""	NA	"g001411"	""
"g001427"	"g001427"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00640"	"GCF_000301115:NZ_JH932288.1:18205-18351"	"hypothetical protein"	""	NA	"g001419"	""
"g001428"	"g001428"	"0.475"	0	0	0.222222222222222	0	"GCF_000301115:JFDAGFHO_00651"	"GCF_000301115:NZ_JH932288.1:29489-29716"	"Transcriptional activator protein CzcR"	""	NA	"g001429"	"K02483"
"g001429"	"g001429"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00655"	"GCF_000301115:NZ_JH932288.1:32668-33072"	"hypothetical protein"	""	NA	"g001430"	""
"g001430"	"g001430"	"1"	1	0	0.888888888888889	1	"GCF_000301115:JFDAGFHO_00671"	"GCF_000301115:NZ_JH932288.1:50907-54662"	"Glycogen debranching enzyme"	"3.2.1.196"	NA	"g001441"	""
"g001431"	"g001431"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00682"	"GCF_000301115:NZ_JH932288.1:62201-61944"	"hypothetical protein"	""	NA	"g001461"	""
"g001432"	"g001432"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00759"	"GCF_000301115:NZ_JH932288.1:146922-147608"	"hypothetical protein"	""	NA	"g001413"	""
"g001433"	"g001433"	"8.74125874125873e-05"	1	0	1	0	"GCF_000301115:JFDAGFHO_00761"	"GCF_000301115:NZ_JH932288.1:148427-148714"	"hypothetical protein"	""	NA	"g001414"	""
"g001434"	"g001434"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00762"	"GCF_000301115:NZ_JH932288.1:150027-151577"	"Bacitracin export permease protein BceB"	""	NA	"g001415"	"K11632"
"g001435"	"g001435"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00773"	"GCF_000301115:NZ_JH932288.1:160808-160182"	"LexA repressor"	"3.4.21.88"	NA	"g001416"	"K01356"
"g001436"	"g001436"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00776"	"GCF_000301115:NZ_JH932288.1:161595-162329"	"putative multidrug resistance ABC transporter ATP-binding/permease protein YheI"	"3.6.3.-"	NA	"g001417"	"K18889"
"g001437"	"g001437"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00777"	"GCF_000301115:NZ_JH932288.1:162277-162834"	"putative multidrug resistance ABC transporter ATP-binding/permease protein YheI"	"3.6.3.-"	NA	"g001418"	"K18889"
"g001438"	"g001438"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00820"	"GCF_000301115:NZ_JH932288.1:203698-204447"	"hypothetical protein"	""	NA	"g001420"	""
"g001439"	"g001439"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00828"	"GCF_000301115:NZ_JH932288.1:206130-206288"	"hypothetical protein"	""	NA	"g001421"	""
"g001440"	"g001440"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00830"	"GCF_000301115:NZ_JH932288.1:206669-207445"	"hypothetical protein"	""	NA	"g001422"	""
"g001441"	"g001441"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00831"	"GCF_000301115:NZ_JH932288.1:207448-208182"	"hypothetical protein"	""	NA	"g001423"	""
"g001442"	"g001442"	"1"	0	0	0	0	"GCF_000301115:JFDAGFHO_00839"	"GCF_000301115:NZ_JH932288.1:211357-211881"	"hypothetical protein"	""	NA	"g001424"	""
