Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g002771	GCF_001311685:NZ_BBBS01000003.1:40938-42698	GCF_001311685:GPGNHPAH_00311	Methionine--tRNA ligase	6.1.1.10	
g002772	GCF_001311685:NZ_BBBS01000003.1:43452-43826	GCF_001311685:GPGNHPAH_00313	Ribonuclease M5	3.1.26.8	
g002773	GCF_001311685:NZ_BBBS01000003.1:43801-44019	GCF_001311685:GPGNHPAH_00314	Ribonuclease M5	3.1.26.8	
g002774	GCF_001311685:NZ_BBBS01000003.1:44009-44164	GCF_001311685:GPGNHPAH_00315	hypothetical protein		
g002775	GCF_001311685:NZ_BBBS01000003.1:44199-44387	GCF_001311685:GPGNHPAH_00316	hypothetical protein		
g002776	GCF_001311685:NZ_BBBS01000003.1:44374-44895	GCF_001311685:GPGNHPAH_00317	Ribosomal RNA small subunit methyltransferase A	2.1.1.182	
g002777	GCF_001311685:NZ_BBBS01000003.1:4447-5463	GCF_001311685:GPGNHPAH_00255	Glutathione-regulated potassium-efflux system protein KefB		
g002778	GCF_001311685:NZ_BBBS01000003.1:45323-45586	GCF_001311685:GPGNHPAH_00319	Pur operon repressor		
g002779	GCF_001311685:NZ_BBBS01000003.1:45567-45911	GCF_001311685:GPGNHPAH_00320	Pur operon repressor		
g002780	GCF_001311685:NZ_BBBS01000003.1:45889-46155	GCF_001311685:GPGNHPAH_00321	Pur operon repressor		
g002781	GCF_001311685:NZ_BBBS01000003.1:46294-46746	GCF_001311685:GPGNHPAH_00322	Bifunctional protein GlmU		
g002782	GCF_001311685:NZ_BBBS01000003.1:46712-47587	GCF_001311685:GPGNHPAH_00323	Bifunctional protein GlmU		
g002783	GCF_001311685:NZ_BBBS01000003.1:47717-48172	GCF_001311685:GPGNHPAH_00324	hypothetical protein		
g002784	GCF_001311685:NZ_BBBS01000003.1:48603-49229	GCF_001311685:GPGNHPAH_00325	hypothetical protein		
g002785	GCF_001311685:NZ_BBBS01000003.1:49201-50373	GCF_001311685:GPGNHPAH_00326	hypothetical protein		
g002786	GCF_001311685:NZ_BBBS01000003.1:51742-52302	GCF_001311685:GPGNHPAH_00328	Beta-glucoside kinase	2.7.1.85	
g002787	GCF_001311685:NZ_BBBS01000003.1:52310-52663	GCF_001311685:GPGNHPAH_00329	hypothetical protein		
g002788	GCF_001311685:NZ_BBBS01000003.1:54027-53035	GCF_001311685:GPGNHPAH_00331	hypothetical protein		
g002789	GCF_001311685:NZ_BBBS01000003.1:54409-53996	GCF_001311685:GPGNHPAH_00332	hypothetical protein		
g002790	GCF_001311685:NZ_BBBS01000003.1:5487-6284	GCF_001311685:GPGNHPAH_00256	hypothetical protein		
g002791	GCF_001311685:NZ_BBBS01000003.1:54951-55106	GCF_001311685:GPGNHPAH_00334	hypothetical protein		
g002792	GCF_001311685:NZ_BBBS01000003.1:55103-55429	GCF_001311685:GPGNHPAH_00335	putative DNA-directed RNA polymerase subunit delta		
g002793	GCF_001311685:NZ_BBBS01000003.1:55547-57088	GCF_001311685:GPGNHPAH_00336	CTP synthase	6.3.4.2	
g002794	GCF_001311685:NZ_BBBS01000003.1:58607-58786	GCF_001311685:GPGNHPAH_00338	hypothetical protein		
g002795	GCF_001311685:NZ_BBBS01000003.1:58728-59099	GCF_001311685:GPGNHPAH_00339	hypothetical protein		
g002796	GCF_001311685:NZ_BBBS01000003.1:59500-59670	GCF_001311685:GPGNHPAH_00340	hypothetical protein		
g002797	GCF_001311685:NZ_BBBS01000003.1:62056-61928	GCF_001311685:GPGNHPAH_00342	hypothetical protein		
g002798	GCF_001311685:NZ_BBBS01000003.1:62532-62206	GCF_001311685:GPGNHPAH_00343	Nucleobase transporter PlUacP		
g002799	GCF_001311685:NZ_BBBS01000003.1:63430-62570	GCF_001311685:GPGNHPAH_00344	Uric acid permease PucK		
g002800	GCF_001311685:NZ_BBBS01000003.1:6445-6341	GCF_001311685:GPGNHPAH_00257	hypothetical protein		
g002801	GCF_001311685:NZ_BBBS01000003.1:64912-65316	GCF_001311685:GPGNHPAH_00346	GMP synthase [glutamine-hydrolyzing]	6.3.5.2	
g002802	GCF_001311685:NZ_BBBS01000003.1:6954-6436	GCF_001311685:GPGNHPAH_00258	Pyrrolidone-carboxylate peptidase	3.4.19.3	
g002803	GCF_001311685:NZ_BBBS01000003.1:7627-6905	GCF_001311685:GPGNHPAH_00259	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU	1.1.1.371	
g002804	GCF_001311685:NZ_BBBS01000003.1:7973-7638	GCF_001311685:GPGNHPAH_00260	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU	1.1.1.371	
g002805	GCF_001311685:NZ_BBBS01000003.1:8177-7983	GCF_001311685:GPGNHPAH_00261	hypothetical protein		
g002806	GCF_001311685:NZ_BBBS01000003.1:8792-8304	GCF_001311685:GPGNHPAH_00262	hypothetical protein		
g002807	GCF_001311685:NZ_BBBS01000003.1:9183-8875	GCF_001311685:GPGNHPAH_00263	hypothetical protein		
g002808	GCF_001311685:NZ_BBBS01000003.1:9481-9122	GCF_001311685:GPGNHPAH_00264	hypothetical protein		
g002809	GCF_001311685:NZ_BBBS01000003.1:971-822	GCF_001311685:GPGNHPAH_00250	hypothetical protein		
g002810	GCF_001311685:NZ_BBBS01000004.1:11104-11664	GCF_001311685:GPGNHPAH_00362	Folylpolyglutamate synthase	6.3.2.17	
g002811	GCF_001311685:NZ_BBBS01000004.1:11621-12211	GCF_001311685:GPGNHPAH_00363	Dihydrofolate synthase/folylpolyglutamate synthase	6.3.2.12	
g002812	GCF_001311685:NZ_BBBS01000004.1:12208-12390	GCF_001311685:GPGNHPAH_00364	hypothetical protein		
g002813	GCF_001311685:NZ_BBBS01000004.1:12368-12646	GCF_001311685:GPGNHPAH_00365	hypothetical protein		
g002814	GCF_001311685:NZ_BBBS01000004.1:12616-13026	GCF_001311685:GPGNHPAH_00366	Protein CbbY	3.1.3.-	
g002815	GCF_001311685:NZ_BBBS01000004.1:13800-14255	GCF_001311685:GPGNHPAH_00368	Cell shape-determining protein MreB		
g002816	GCF_001311685:NZ_BBBS01000004.1:14245-14802	GCF_001311685:GPGNHPAH_00369	Cell shape-determining protein MreB		
g002817	GCF_001311685:NZ_BBBS01000004.1:14937-15701	GCF_001311685:GPGNHPAH_00370	Cell shape-determining protein MreC		
g002818	GCF_001311685:NZ_BBBS01000004.1:15701-16027	GCF_001311685:GPGNHPAH_00371	hypothetical protein		
g002819	GCF_001311685:NZ_BBBS01000004.1:16009-16221	GCF_001311685:GPGNHPAH_00372	hypothetical protein		
g002820	GCF_001311685:NZ_BBBS01000004.1:1725-928	GCF_001311685:GPGNHPAH_00349	hypothetical protein		
g002821	GCF_001311685:NZ_BBBS01000004.1:18772-19233	GCF_001311685:GPGNHPAH_00376	Peptidoglycan D,D-transpeptidase FtsI	3.4.16.4	
g002822	GCF_001311685:NZ_BBBS01000004.1:19236-20933	GCF_001311685:GPGNHPAH_00377	Penicillin-binding protein 2B		
g002823	GCF_001311685:NZ_BBBS01000004.1:21055-21909	GCF_001311685:GPGNHPAH_00378	Phospho-N-acetylmuramoyl-pentapeptide-transferase	2.7.8.13	
g002824	GCF_001311685:NZ_BBBS01000004.1:2114-1722	GCF_001311685:GPGNHPAH_00350	hypothetical protein		
g002825	GCF_001311685:NZ_BBBS01000004.1:21917-23056	GCF_001311685:GPGNHPAH_00379	UDP-N-acetylmuramoylalanine--D-glutamate ligase	6.3.2.9	
g002826	GCF_001311685:NZ_BBBS01000004.1:23007-23297	GCF_001311685:GPGNHPAH_00380	UDP-N-acetylmuramoylalanine--D-glutamate ligase	6.3.2.9	
g002827	GCF_001311685:NZ_BBBS01000004.1:23299-23520	GCF_001311685:GPGNHPAH_00381	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	
g002828	GCF_001311685:NZ_BBBS01000004.1:2356-2255	GCF_001311685:GPGNHPAH_00351	hypothetical protein		
g002829	GCF_001311685:NZ_BBBS01000004.1:23624-23863	GCF_001311685:GPGNHPAH_00382	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	
g002830	GCF_001311685:NZ_BBBS01000004.1:23872-24024	GCF_001311685:GPGNHPAH_00383	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	
g002831	GCF_001311685:NZ_BBBS01000004.1:23999-24409	GCF_001311685:GPGNHPAH_00384	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	
g002832	GCF_001311685:NZ_BBBS01000004.1:24428-25021	GCF_001311685:GPGNHPAH_00385	Cell division protein DivIB		
g002833	GCF_001311685:NZ_BBBS01000004.1:2455-2859	GCF_001311685:GPGNHPAH_00352	Calcium-transporting ATPase	7.2.2.10	
g002834	GCF_001311685:NZ_BBBS01000004.1:25116-25286	GCF_001311685:GPGNHPAH_00386	Cell division protein DivIB		
g002835	GCF_001311685:NZ_BBBS01000004.1:25350-25901	GCF_001311685:GPGNHPAH_00387	Cell division protein FtsA		
g002836	GCF_001311685:NZ_BBBS01000004.1:25923-26153	GCF_001311685:GPGNHPAH_00388	Cell division protein FtsA		
g002837	GCF_001311685:NZ_BBBS01000004.1:26113-26712	GCF_001311685:GPGNHPAH_00389	Cell division protein FtsA		
g002838	GCF_001311685:NZ_BBBS01000004.1:26727-27863	GCF_001311685:GPGNHPAH_00390	Cell division protein FtsZ		
g002839	GCF_001311685:NZ_BBBS01000004.1:2837-3382	GCF_001311685:GPGNHPAH_00353	Calcium-transporting ATPase	7.2.2.10	
g002840	GCF_001311685:NZ_BBBS01000004.1:28826-28996	GCF_001311685:GPGNHPAH_00393	hypothetical protein		
g002841	GCF_001311685:NZ_BBBS01000004.1:28953-29270	GCF_001311685:GPGNHPAH_00394	hypothetical protein		
g002842	GCF_001311685:NZ_BBBS01000004.1:29254-29628	GCF_001311685:GPGNHPAH_00395	hypothetical protein		
g002843	GCF_001311685:NZ_BBBS01000004.1:29604-29870	GCF_001311685:GPGNHPAH_00396	Cell cycle protein GpsB		
g002844	GCF_001311685:NZ_BBBS01000004.1:29815-30444	GCF_001311685:GPGNHPAH_00397	hypothetical protein		
g002845	GCF_001311685:NZ_BBBS01000004.1:30657-31190	GCF_001311685:GPGNHPAH_00398	Isoleucine--tRNA ligase	6.1.1.5	
g002846	GCF_001311685:NZ_BBBS01000004.1:31132-32004	GCF_001311685:GPGNHPAH_00399	Isoleucine--tRNA ligase	6.1.1.5	
g002847	GCF_001311685:NZ_BBBS01000004.1:32001-33458	GCF_001311685:GPGNHPAH_00400	Isoleucine--tRNA ligase	6.1.1.5	
g002848	GCF_001311685:NZ_BBBS01000004.1:3375-5093	GCF_001311685:GPGNHPAH_00354	Calcium-transporting ATPase 1	7.2.2.10	
g002849	GCF_001311685:NZ_BBBS01000004.1:34584-34790	GCF_001311685:GPGNHPAH_00403	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	3.2.2.9	
g002850	GCF_001311685:NZ_BBBS01000004.1:35283-35732	GCF_001311685:GPGNHPAH_00405	Cysteine desulfurase IscS	2.8.1.7	
g002851	GCF_001311685:NZ_BBBS01000004.1:35722-36441	GCF_001311685:GPGNHPAH_00406	Cysteine desulfurase IscS	2.8.1.7	
g002852	GCF_001311685:NZ_BBBS01000004.1:36838-37449	GCF_001311685:GPGNHPAH_00408	tRNA-specific 2-thiouridylase MnmA	2.8.1.13	
g002853	GCF_001311685:NZ_BBBS01000004.1:38061-38201	GCF_001311685:GPGNHPAH_00410	hypothetical protein		
g002854	GCF_001311685:NZ_BBBS01000004.1:38188-38373	GCF_001311685:GPGNHPAH_00411	hypothetical protein		
g002855	GCF_001311685:NZ_BBBS01000004.1:38345-38722	GCF_001311685:GPGNHPAH_00412	hypothetical protein		
g002856	GCF_001311685:NZ_BBBS01000004.1:38722-39099	GCF_001311685:GPGNHPAH_00413	hypothetical protein		
g002857	GCF_001311685:NZ_BBBS01000004.1:39116-39223	GCF_001311685:GPGNHPAH_00414	hypothetical protein		
g002858	GCF_001311685:NZ_BBBS01000004.1:39368-41737	GCF_001311685:GPGNHPAH_00415	ATP-dependent RecD-like DNA helicase	3.6.4.12	
g002859	GCF_001311685:NZ_BBBS01000004.1:41969-42298	GCF_001311685:GPGNHPAH_00416	hypothetical protein		
g002860	GCF_001311685:NZ_BBBS01000004.1:42358-42573	GCF_001311685:GPGNHPAH_00417	hypothetical protein		
g002861	GCF_001311685:NZ_BBBS01000004.1:42609-42848	GCF_001311685:GPGNHPAH_00418	hypothetical protein		
g002862	GCF_001311685:NZ_BBBS01000004.1:42953-43261	GCF_001311685:GPGNHPAH_00419	hypothetical protein		
g002863	GCF_001311685:NZ_BBBS01000004.1:43225-43491	GCF_001311685:GPGNHPAH_00420	hypothetical protein		
g002864	GCF_001311685:NZ_BBBS01000004.1:43927-43517	GCF_001311685:GPGNHPAH_00421	Putative lipid kinase YtlR	2.7.1.-	
g002865	GCF_001311685:NZ_BBBS01000004.1:44180-43890	GCF_001311685:GPGNHPAH_00422	hypothetical protein		
g002866	GCF_001311685:NZ_BBBS01000004.1:44475-44293	GCF_001311685:GPGNHPAH_00423	hypothetical protein		
g002867	GCF_001311685:NZ_BBBS01000004.1:45871-44513	GCF_001311685:GPGNHPAH_00424	Ribonuclease J1	3.1.-.-	
g002868	GCF_001311685:NZ_BBBS01000004.1:46193-45921	GCF_001311685:GPGNHPAH_00425	Ribonuclease J 1	3.1.-.-	
g002869	GCF_001311685:NZ_BBBS01000004.1:47308-46844	GCF_001311685:GPGNHPAH_00428	Peptide deformylase 2	3.5.1.88	
g002870	GCF_001311685:NZ_BBBS01000004.1:47516-49408	GCF_001311685:GPGNHPAH_00429	GTP-binding protein TypA/BipA		
g002871	GCF_001311685:NZ_BBBS01000004.1:49453-49728	GCF_001311685:GPGNHPAH_00430	hypothetical protein		
g002872	GCF_001311685:NZ_BBBS01000004.1:49772-50020	GCF_001311685:GPGNHPAH_00431	peptidoglycan glycosyltransferase FtsW	2.4.1.129	
g002873	GCF_001311685:NZ_BBBS01000004.1:50001-50684	GCF_001311685:GPGNHPAH_00432	putative peptidoglycan glycosyltransferase FtsW	2.4.1.129	
g002874	GCF_001311685:NZ_BBBS01000004.1:50694-50849	GCF_001311685:GPGNHPAH_00433	hypothetical protein		
g002875	GCF_001311685:NZ_BBBS01000004.1:50824-51024	GCF_001311685:GPGNHPAH_00434	hypothetical protein		
g002876	GCF_001311685:NZ_BBBS01000004.1:51405-51587	GCF_001311685:GPGNHPAH_00435	hypothetical protein		
g002877	GCF_001311685:NZ_BBBS01000004.1:51590-51988	GCF_001311685:GPGNHPAH_00436	Phosphopantetheine adenylyltransferase	2.7.7.3	
g002878	GCF_001311685:NZ_BBBS01000004.1:5188-5853	GCF_001311685:GPGNHPAH_00355	hypothetical protein		
g002879	GCF_001311685:NZ_BBBS01000004.1:52069-52650	GCF_001311685:GPGNHPAH_00437	putative protein YlbL		
g002880	GCF_001311685:NZ_BBBS01000004.1:52640-53113	GCF_001311685:GPGNHPAH_00438	putative protein YlbL		
g002881	GCF_001311685:NZ_BBBS01000004.1:53217-53705	GCF_001311685:GPGNHPAH_00439	hypothetical protein		
g002882	GCF_001311685:NZ_BBBS01000004.1:54181-55014	GCF_001311685:GPGNHPAH_00440	hypothetical protein		
g002883	GCF_001311685:NZ_BBBS01000004.1:55056-55994	GCF_001311685:GPGNHPAH_00441	ComE operon protein 3		
g002884	GCF_001311685:NZ_BBBS01000004.1:56143-56388	GCF_001311685:GPGNHPAH_00442	hypothetical protein		
g002885	GCF_001311685:NZ_BBBS01000004.1:56503-56988	GCF_001311685:GPGNHPAH_00443	putative protein YqeN		
g002886	GCF_001311685:NZ_BBBS01000004.1:58083-59015	GCF_001311685:GPGNHPAH_00446	Ribonuclease J 2	3.1.-.-	
g002887	GCF_001311685:NZ_BBBS01000004.1:5837-6118	GCF_001311685:GPGNHPAH_00356	hypothetical protein		
g002888	GCF_001311685:NZ_BBBS01000004.1:59008-59862	GCF_001311685:GPGNHPAH_00447	Ribonuclease J 2	3.1.-.-	
g002889	GCF_001311685:NZ_BBBS01000004.1:59878-60090	GCF_001311685:GPGNHPAH_00448	hypothetical protein		
g002890	GCF_001311685:NZ_BBBS01000004.1:60178-60699	GCF_001311685:GPGNHPAH_00449	hypothetical protein		
g002891	GCF_001311685:NZ_BBBS01000004.1:7574-7774	GCF_001311685:GPGNHPAH_00359	hypothetical protein		
g002892	GCF_001311685:NZ_BBBS01000004.1:965-573	GCF_001311685:GPGNHPAH_00348	hypothetical protein		
g002893	GCF_001311685:NZ_BBBS01000005.1:10298-10570	GCF_001311685:GPGNHPAH_00478	hypothetical protein		
g002894	GCF_001311685:NZ_BBBS01000005.1:10530-10862	GCF_001311685:GPGNHPAH_00479	hypothetical protein		
g002895	GCF_001311685:NZ_BBBS01000005.1:10916-11068	GCF_001311685:GPGNHPAH_00480	hypothetical protein		
g002896	GCF_001311685:NZ_BBBS01000005.1:1095-679	GCF_001311685:GPGNHPAH_00452	hypothetical protein		
g002897	GCF_001311685:NZ_BBBS01000005.1:1288-1142	GCF_001311685:GPGNHPAH_00453	hypothetical protein		
g002898	GCF_001311685:NZ_BBBS01000005.1:13117-12977	GCF_001311685:GPGNHPAH_00483	hypothetical protein		
g002899	GCF_001311685:NZ_BBBS01000005.1:13506-13111	GCF_001311685:GPGNHPAH_00484	hypothetical protein		
g002900	GCF_001311685:NZ_BBBS01000005.1:13790-13476	GCF_001311685:GPGNHPAH_00485	hypothetical protein		
g002901	GCF_001311685:NZ_BBBS01000005.1:14386-13985	GCF_001311685:GPGNHPAH_00487	hypothetical protein		
g002902	GCF_001311685:NZ_BBBS01000005.1:14513-14343	GCF_001311685:GPGNHPAH_00488	hypothetical protein		
g002903	GCF_001311685:NZ_BBBS01000005.1:15159-14467	GCF_001311685:GPGNHPAH_00489	hypothetical protein		
g002904	GCF_001311685:NZ_BBBS01000005.1:15474-15205	GCF_001311685:GPGNHPAH_00490	hypothetical protein		
g002905	GCF_001311685:NZ_BBBS01000005.1:15775-15647	GCF_001311685:GPGNHPAH_00491	hypothetical protein		
g002906	GCF_001311685:NZ_BBBS01000005.1:15995-15753	GCF_001311685:GPGNHPAH_00492	hypothetical protein		
g002907	GCF_001311685:NZ_BBBS01000005.1:16539-16033	GCF_001311685:GPGNHPAH_00493	hypothetical protein		
g002908	GCF_001311685:NZ_BBBS01000005.1:16979-16596	GCF_001311685:GPGNHPAH_00494	hypothetical protein		
g002909	GCF_001311685:NZ_BBBS01000005.1:17355-16936	GCF_001311685:GPGNHPAH_00495	ComG operon protein 1		
g002910	GCF_001311685:NZ_BBBS01000005.1:17485-17306	GCF_001311685:GPGNHPAH_00496	hypothetical protein		
g002911	GCF_001311685:NZ_BBBS01000005.1:18969-18652	GCF_001311685:GPGNHPAH_00498	hypothetical protein		
g002912	GCF_001311685:NZ_BBBS01000005.1:20334-21038	GCF_001311685:GPGNHPAH_00502	Inner membrane transporter YcaM		
g002913	GCF_001311685:NZ_BBBS01000005.1:21058-21372	GCF_001311685:GPGNHPAH_00503	Inner membrane transporter YcaM		
g002914	GCF_001311685:NZ_BBBS01000005.1:21636-21962	GCF_001311685:GPGNHPAH_00504	hypothetical protein		
g002915	GCF_001311685:NZ_BBBS01000005.1:22286-21972	GCF_001311685:GPGNHPAH_00505	hypothetical protein		
g002916	GCF_001311685:NZ_BBBS01000005.1:22773-22261	GCF_001311685:GPGNHPAH_00506	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	4.2.99.20	
g002917	GCF_001311685:NZ_BBBS01000005.1:23791-23135	GCF_001311685:GPGNHPAH_00507	Aryl-phospho-beta-D-glucosidase BglH	3.2.1.86	
g002918	GCF_001311685:NZ_BBBS01000005.1:24320-23997	GCF_001311685:GPGNHPAH_00508	6-phospho-beta-glucosidase BglA	3.2.1.86	
g002919	GCF_001311685:NZ_BBBS01000005.1:24609-24409	GCF_001311685:GPGNHPAH_00509	hypothetical protein		
g002920	GCF_001311685:NZ_BBBS01000005.1:25263-24652	GCF_001311685:GPGNHPAH_00510	hypothetical protein		
g002921	GCF_001311685:NZ_BBBS01000005.1:25411-25223	GCF_001311685:GPGNHPAH_00511	hypothetical protein		
g002922	GCF_001311685:NZ_BBBS01000005.1:26563-25571	GCF_001311685:GPGNHPAH_00512	PTS system beta-glucoside-specific EIIBCA component		
g002923	GCF_001311685:NZ_BBBS01000005.1:27209-26802	GCF_001311685:GPGNHPAH_00514	Transcription antiterminator LicT		
g002924	GCF_001311685:NZ_BBBS01000005.1:27477-27229	GCF_001311685:GPGNHPAH_00515	hypothetical protein		
g002925	GCF_001311685:NZ_BBBS01000005.1:27637-27527	GCF_001311685:GPGNHPAH_00516	hypothetical protein		
g002926	GCF_001311685:NZ_BBBS01000005.1:27848-28351	GCF_001311685:GPGNHPAH_00517	Glycerate 3-kinase	2.7.1.31	
g002927	GCF_001311685:NZ_BBBS01000005.1:28666-28992	GCF_001311685:GPGNHPAH_00518	Glycerate 3-kinase	2.7.1.31	
g002928	GCF_001311685:NZ_BBBS01000005.1:2881-2579	GCF_001311685:GPGNHPAH_00455	hypothetical protein		
g002929	GCF_001311685:NZ_BBBS01000005.1:29409-29017	GCF_001311685:GPGNHPAH_00519	Low molecular weight protein-tyrosine-phosphatase YfkJ	3.1.3.48	
g002930	GCF_001311685:NZ_BBBS01000005.1:30591-30211	GCF_001311685:GPGNHPAH_00521	Transcriptional repressor CopY		
g002931	GCF_001311685:NZ_BBBS01000005.1:31493-30570	GCF_001311685:GPGNHPAH_00522	Sugar phosphatase YidA	3.1.3.23	
g002932	GCF_001311685:NZ_BBBS01000005.1:32775-31594	GCF_001311685:GPGNHPAH_00523	Phosphoglucosamine mutase	5.4.2.10	
g002933	GCF_001311685:NZ_BBBS01000005.1:33930-33274	GCF_001311685:GPGNHPAH_00525	CdaA regulatory protein CdaR		
g002934	GCF_001311685:NZ_BBBS01000005.1:35029-34808	GCF_001311685:GPGNHPAH_00527	hypothetical protein		
g002935	GCF_001311685:NZ_BBBS01000005.1:35534-35043	GCF_001311685:GPGNHPAH_00528	Spermidine/putrescine-binding periplasmic protein		
g002936	GCF_001311685:NZ_BBBS01000005.1:35667-35512	GCF_001311685:GPGNHPAH_00529	hypothetical protein		
g002937	GCF_001311685:NZ_BBBS01000005.1:35884-35720	GCF_001311685:GPGNHPAH_00530	hypothetical protein		
g002938	GCF_001311685:NZ_BBBS01000005.1:3597-3310	GCF_001311685:GPGNHPAH_00456	hypothetical protein		
g002939	GCF_001311685:NZ_BBBS01000005.1:36298-36041	GCF_001311685:GPGNHPAH_00531	Molybdenum transport system permease protein ModB		
g002940	GCF_001311685:NZ_BBBS01000005.1:36641-36237	GCF_001311685:GPGNHPAH_00532	hypothetical protein		
g002941	GCF_001311685:NZ_BBBS01000005.1:3692-3570	GCF_001311685:GPGNHPAH_00457	hypothetical protein		
g002942	GCF_001311685:NZ_BBBS01000005.1:37229-36696	GCF_001311685:GPGNHPAH_00533	Spermidine/putrescine transport system permease protein PotB		
g002943	GCF_001311685:NZ_BBBS01000005.1:37633-37499	GCF_001311685:GPGNHPAH_00534	hypothetical protein		
g002944	GCF_001311685:NZ_BBBS01000005.1:38459-37593	GCF_001311685:GPGNHPAH_00535	Spermidine/putrescine import ATP-binding protein PotA	7.6.2.11	
g002945	GCF_001311685:NZ_BBBS01000005.1:39325-38666	GCF_001311685:GPGNHPAH_00536	UDP-N-acetylenolpyruvoylglucosamine reductase	1.3.1.98	
g002946	GCF_001311685:NZ_BBBS01000005.1:39561-39364	GCF_001311685:GPGNHPAH_00537	UDP-N-acetylenolpyruvoylglucosamine reductase	1.3.1.98	
g002947	GCF_001311685:NZ_BBBS01000005.1:39658-39879	GCF_001311685:GPGNHPAH_00538	hypothetical protein		
g002948	GCF_001311685:NZ_BBBS01000005.1:39854-40192	GCF_001311685:GPGNHPAH_00539	DNA polymerase III PolC-type	2.7.7.7	
g002949	GCF_001311685:NZ_BBBS01000005.1:40481-40230	GCF_001311685:GPGNHPAH_00540	hypothetical protein		
g002950	GCF_001311685:NZ_BBBS01000005.1:40708-40421	GCF_001311685:GPGNHPAH_00541	hypothetical protein		
g002951	GCF_001311685:NZ_BBBS01000005.1:41454-40708	GCF_001311685:GPGNHPAH_00542	Phosphate acetyltransferase	2.3.1.8	
g002952	GCF_001311685:NZ_BBBS01000005.1:4156-3740	GCF_001311685:GPGNHPAH_00458	Single-stranded DNA-binding protein		
g002953	GCF_001311685:NZ_BBBS01000005.1:42046-41711	GCF_001311685:GPGNHPAH_00543	Uracil-DNA glycosylase	3.2.2.27	
g002954	GCF_001311685:NZ_BBBS01000005.1:42395-42006	GCF_001311685:GPGNHPAH_00544	Uracil-DNA glycosylase	3.2.2.27	
g002955	GCF_001311685:NZ_BBBS01000005.1:42479-43090	GCF_001311685:GPGNHPAH_00545	Phosphatase YwpJ	3.1.3.-	
g002956	GCF_001311685:NZ_BBBS01000005.1:43053-43355	GCF_001311685:GPGNHPAH_00546	Sugar phosphatase YidA	3.1.3.23	
g002957	GCF_001311685:NZ_BBBS01000005.1:43375-43476	GCF_001311685:GPGNHPAH_00547	hypothetical protein		
g002958	GCF_001311685:NZ_BBBS01000005.1:43439-43672	GCF_001311685:GPGNHPAH_00548	hypothetical protein		
g002959	GCF_001311685:NZ_BBBS01000005.1:43641-43892	GCF_001311685:GPGNHPAH_00549	hypothetical protein		
g002960	GCF_001311685:NZ_BBBS01000005.1:50389-50225	GCF_001311685:GPGNHPAH_00556	hypothetical protein		
g002961	GCF_001311685:NZ_BBBS01000005.1:50543-50337	GCF_001311685:GPGNHPAH_00557	hypothetical protein		
g002962	GCF_001311685:NZ_BBBS01000005.1:52458-52213	GCF_001311685:GPGNHPAH_00559	hypothetical protein		
g002963	GCF_001311685:NZ_BBBS01000005.1:52891-52439	GCF_001311685:GPGNHPAH_00560	hypothetical protein		
g002964	GCF_001311685:NZ_BBBS01000005.1:53000-52875	GCF_001311685:GPGNHPAH_00561	hypothetical protein		
g002965	GCF_001311685:NZ_BBBS01000005.1:53447-53121	GCF_001311685:GPGNHPAH_00562	hypothetical protein		
g002966	GCF_001311685:NZ_BBBS01000005.1:53767-53492	GCF_001311685:GPGNHPAH_00563	hypothetical protein		
g002967	GCF_001311685:NZ_BBBS01000005.1:53849-53712	GCF_001311685:GPGNHPAH_00564	hypothetical protein		
g002968	GCF_001311685:NZ_BBBS01000005.1:55275-54805	GCF_001311685:GPGNHPAH_00566	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA	3.6.3.-	
g002969	GCF_001311685:NZ_BBBS01000005.1:55594-55349	GCF_001311685:GPGNHPAH_00567	Zinc import ATP-binding protein ZnuC	7.2.2.-	
g002970	GCF_001311685:NZ_BBBS01000005.1:56070-55783	GCF_001311685:GPGNHPAH_00568	hypothetical protein		
g002971	GCF_001311685:NZ_BBBS01000005.1:56219-56052	GCF_001311685:GPGNHPAH_00569	hypothetical protein		
g002972	GCF_001311685:NZ_BBBS01000005.1:56320-56991	GCF_001311685:GPGNHPAH_00570	Putative multidrug resistance protein MdtD		
g002973	GCF_001311685:NZ_BBBS01000005.1:56960-57211	GCF_001311685:GPGNHPAH_00571	hypothetical protein		
g002974	GCF_001311685:NZ_BBBS01000005.1:57232-57852	GCF_001311685:GPGNHPAH_00572	hypothetical protein		
