""	"geneID"	"p"	"DONOR1"	"DONOR2"	"FMT1"	"FMT2"	"GFF_locus_tag"	"Centroid_gene_ID"	"Product"	"EC_number"	"Protein_id"	"geneID.1"	"koID"
"g007090"	"g007090"	0.000874125874125875	0	1	0	0.857142857142857	"GCF_001311685:GPGNHPAH_01903"	"GCF_001311685:NZ_BBBS01000028.1:19021-18377"	"hypothetical protein"	""	NA	"g003998"	""
"g007144"	"g007144"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_01978"	"GCF_001311685:NZ_BBBS01000030.1:20474-21058"	"Redox-sensing transcriptional repressor Rex"	""	NA	"g004048"	"K01926"
"g007165"	"g007165"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_02007"	"GCF_001311685:NZ_BBBS01000031.1:18106-18201"	"hypothetical protein"	""	NA	"g004074"	""
"g007189"	"g007189"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02036"	"GCF_001311685:NZ_BBBS01000032.1:12218-12517"	"hypothetical protein"	""	NA	"g004095"	""
"g007190"	"g007190"	8.74125874125873e-05	0	0	0	1	"GCF_001311685:GPGNHPAH_02037"	"GCF_001311685:NZ_BBBS01000032.1:12507-12692"	"hypothetical protein"	""	NA	"g004096"	""
"g007191"	"g007191"	0.00323426573426573	0	1	0.222222222222222	1	"GCF_001311685:GPGNHPAH_02038"	"GCF_001311685:NZ_BBBS01000032.1:12667-12993"	"hypothetical protein"	""	NA	"g004097"	""
"g007192"	"g007192"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02039"	"GCF_001311685:NZ_BBBS01000032.1:13534-13103"	"hypothetical protein"	""	NA	"g004098"	""
"g007207"	"g007207"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_02054"	"GCF_001311685:NZ_BBBS01000032.1:19656-19985"	"Cystathionine beta-lyase"	"4.4.1.13"	NA	"g004114"	"K01760"
"g007242"	"g007242"	0.0336538461538462	1	0	0.555555555555556	0	"GCF_001311685:GPGNHPAH_02095"	"GCF_001311685:NZ_BBBS01000033.1:21675-22448"	"hypothetical protein"	""	NA	"g004151"	""
"g007245"	"g007245"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02099"	"GCF_001311685:NZ_BBBS01000034.1:1544-1269"	"hypothetical protein"	""	NA	"g004162"	""
"g007246"	"g007246"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02100"	"GCF_001311685:NZ_BBBS01000034.1:1681-1556"	"hypothetical protein"	""	NA	"g004164"	""
"g007262"	"g007262"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02129"	"GCF_001311685:NZ_BBBS01000034.1:19106-20089"	"Putative D-alanyl-D-alanine carboxypeptidase"	"3.4.16.4"	NA	"g004170"	""
"g007305"	"g007305"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_02184"	"GCF_001311685:NZ_BBBS01000036.1:12484-12663"	"hypothetical protein"	""	NA	"g004211"	""
"g007306"	"g007306"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_02185"	"GCF_001311685:NZ_BBBS01000036.1:12851-13351"	"Putative glycosyltransferase EpsF"	"2.4.-.-"	NA	"g004212"	"K19424"
"g007309"	"g007309"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_02188"	"GCF_001311685:NZ_BBBS01000036.1:14011-14181"	"hypothetical protein"	""	NA	"g004215"	""
"g007320"	"g007320"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_02199"	"GCF_001311685:NZ_BBBS01000037.1:445-603"	"hypothetical protein"	""	NA	"g004254"	""
"g007333"	"g007333"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_02219"	"GCF_001311685:NZ_BBBS01000037.1:10335-10820"	"tRNA(Met) cytidine acetate ligase"	"6.3.4.-"	NA	"g004235"	""
"g007358"	"g007358"	8.74125874125873e-05	0	0	1	0	"GCF_001311685:GPGNHPAH_02252"	"GCF_001311685:NZ_BBBS01000038.1:11823-12161"	"hypothetical protein"	""	NA	"g004263"	""
"g007385"	"g007385"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02282"	"GCF_001311685:NZ_BBBS01000039.1:11329-11979"	"UDP-glucose 4-epimerase"	"5.1.3.2"	NA	"g004286"	""
"g007496"	"g007496"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_02416"	"GCF_001311685:NZ_BBBS01000044.1:9121-9372"	"hypothetical protein"	""	NA	"g004419"	""
"g007539"	"g007539"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_02474"	"GCF_001311685:NZ_BBBS01000046.1:11744-11917"	"hypothetical protein"	""	NA	"g004443"	""
"g007625"	"g007625"	0.0113636363636364	0	1	0.333333333333333	1	"GCF_001311685:GPGNHPAH_02581"	"GCF_001311685:NZ_BBBS01000050.1:10150-11310"	"hypothetical protein"	""	NA	"g004522"	""
"g007629"	"g007629"	0.0113636363636364	1	1	0.333333333333333	1	"GCF_001311685:GPGNHPAH_02585"	"GCF_001311685:NZ_BBBS01000050.1:14401-14072"	"hypothetical protein"	""	NA	"g004527"	""
"g007713"	"g007713"	0.000874125874125875	0	1	0	0.857142857142857	"GCF_001311685:GPGNHPAH_02686"	"GCF_001311685:NZ_BBBS01000055.1:5494-5336"	"hypothetical protein"	""	NA	"g004627"	""
"g007715"	"g007715"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02689"	"GCF_001311685:NZ_BBBS01000055.1:6542-6982"	"hypothetical protein"	""	NA	"g004629"	""
"g007780"	"g007780"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02774"	"GCF_001311685:NZ_BBBS01000061.1:5208-5711"	"N-acetylmuramic acid 6-phosphate etherase"	"4.2.1.126"	NA	"g004692"	"K07106"
"g007783"	"g007783"	0.0113636363636364	0	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_02778"	"GCF_001311685:NZ_BBBS01000061.1:7519-8133"	"PTS system EIIBC component"	""	NA	"g004695"	"K02809"
"g007906"	"g007906"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02940"	"GCF_001311685:NZ_BBBS01000071.1:6446-6006"	"hypothetical protein"	""	NA	"g004816"	""
"g007919"	"g007919"	8.74125874125873e-05	0	0	0	1	"GCF_001311685:GPGNHPAH_02955"	"GCF_001311685:NZ_BBBS01000072.1:5465-6160"	"HTH-type transcriptional regulator MalR"	""	NA	"g004828"	"K02529"
"g007926"	"g007926"	0.000874125874125875	0	0	0	0.857142857142857	"GCF_001311685:GPGNHPAH_02967"	"GCF_001311685:NZ_BBBS01000073.1:3401-3862"	"tRNA-specific adenosine deaminase"	"3.5.4.33"	NA	"g004836"	"K11991"
"g007951"	"g007951"	0.0192307692307692	0	0	0	0.571428571428571	"GCF_001311685:GPGNHPAH_02996"	"GCF_001311685:NZ_BBBS01000075.1:5611-6984"	"Inner membrane transporter YcaM"	""	NA	"g004861"	""
"g007952"	"g007952"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_02998"	"GCF_001311685:NZ_BBBS01000076.1:102-410"	"Protein LacX, plasmid"	""	NA	"g004862"	""
"g008050"	"g008050"	8.74125874125873e-05	0	1	0	1	"GCF_001311685:GPGNHPAH_03130"	"GCF_001311685:NZ_BBBS01000086.1:3600-3313"	"hypothetical protein"	""	NA	"g004959"	""
"g008051"	"g008051"	0.00480769230769231	0	0	0	0.714285714285714	"GCF_001311685:GPGNHPAH_03131"	"GCF_001311685:NZ_BBBS01000086.1:3904-3623"	"hypothetical protein"	""	NA	"g004960"	""
"g008058"	"g008058"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_03139"	"GCF_001311685:NZ_BBBS01000087.1:1740-1402"	"hypothetical protein"	""	NA	"g004968"	""
"g008063"	"g008063"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_03145"	"GCF_001311685:NZ_BBBS01000087.1:5224-5529"	"hypothetical protein"	""	NA	"g004973"	""
"g008064"	"g008064"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03147"	"GCF_001311685:NZ_BBBS01000088.1:452-967"	"hypothetical protein"	""	NA	"g004980"	""
"g008065"	"g008065"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_03148"	"GCF_001311685:NZ_BBBS01000088.1:1047-1691"	"hypothetical protein"	""	NA	"g004974"	""
"g008072"	"g008072"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_03158"	"GCF_001311685:NZ_BBBS01000089.1:3452-2610"	"putative cell division protein WhiA"	""	NA	"g004982"	"K09762"
"g008076"	"g008076"	0.0113636363636364	0	0	0.666666666666667	0	"GCF_001311685:GPGNHPAH_03165"	"GCF_001311685:NZ_BBBS01000090.1:2530-2802"	"hypothetical protein"	""	NA	"g004986"	""
"g008079"	"g008079"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03168"	"GCF_001311685:NZ_BBBS01000091.1:532-708"	"hypothetical protein"	""	NA	"g004991"	""
"g008085"	"g008085"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03177"	"GCF_001311685:NZ_BBBS01000092.1:1788-3206"	"hypothetical protein"	""	NA	"g004994"	""
"g008086"	"g008086"	0.0013986013986014	0	0	0.888888888888889	0	"GCF_001311685:GPGNHPAH_03178"	"GCF_001311685:NZ_BBBS01000092.1:3278-3382"	"hypothetical protein"	""	NA	"g004995"	""
"g008097"	"g008097"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03190"	"GCF_001311685:NZ_BBBS01000094.1:116-2278"	"hypothetical protein"	""	NA	"g005007"	""
"g008098"	"g008098"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03191"	"GCF_001311685:NZ_BBBS01000094.1:2326-3261"	"hypothetical protein"	""	NA	"g005008"	""
"g008099"	"g008099"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_03192"	"GCF_001311685:NZ_BBBS01000094.1:3369-3806"	"hypothetical protein"	""	NA	"g005009"	""
"g008100"	"g008100"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001311685:GPGNHPAH_03197"	"GCF_001311685:NZ_BBBS01000096.1:837-1445"	"UvrABC system protein A"	""	NA	"g005014"	""
"g008102"	"g008102"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03199"	"GCF_001311685:NZ_BBBS01000096.1:1931-3043"	"UvrABC system protein A"	""	NA	"g005011"	"K03701"
"g008103"	"g008103"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03200"	"GCF_001311685:NZ_BBBS01000096.1:3206-3463"	"hypothetical protein"	""	NA	"g005012"	""
"g008108"	"g008108"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03206"	"GCF_001311685:NZ_BBBS01000097.1:2823-3224"	"Multidrug resistance protein 3"	""	NA	"g005017"	""
"g008109"	"g008109"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03207"	"GCF_001311685:NZ_BBBS01000097.1:3307-3849"	"hypothetical protein"	""	NA	"g005018"	""
"g008110"	"g008110"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03208"	"GCF_001311685:NZ_BBBS01000097.1:3842-4132"	"hypothetical protein"	""	NA	"g005019"	""
"g008111"	"g008111"	8.74125874125873e-05	1	0	1	0	"GCF_001311685:GPGNHPAH_03209"	"GCF_001311685:NZ_BBBS01000098.1:536-84"	"hypothetical protein"	""	NA	"g005024"	""
"g008292"	"g008292"	8.74125874125873e-05	1	0	1	0	"GCF_001434005:AMGGBBIF_01623"	"GCF_001434005:NZ_AZCW01000061.1:2931-1714"	"Maltose/maltodextrin-binding protein"	""	NA	"g005193"	"K15770"
"g008320"	"g008320"	0.0013986013986014	0	1	0.111111111111111	1	"GCF_001541385:PMFIBKCK_00001"	"GCF_001541385:NZ_LJGP01000001.1:1333-584"	"hypothetical protein"	""	NA	"g005234"	""
"g008321"	"g008321"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_001541385:PMFIBKCK_00002"	"GCF_001541385:NZ_LJGP01000001.1:3031-1604"	"Putative O-antigen transporter"	""	NA	"g005238"	"K18799"
"g008469"	"g008469"	0.00480769230769231	0	0	0	0.714285714285714	"GCF_001541385:PMFIBKCK_01061"	"GCF_001541385:NZ_LJGP01000034.1:246-776"	"O-acetyl-ADP-ribose deacetylase"	"3.1.1.106"	NA	"g005461"	""
"g008476"	"g008476"	8.74125874125873e-05	1	0	1	0	"GCF_001541385:PMFIBKCK_01080"	"GCF_001541385:NZ_LJGP01000035.1:3672-4055"	"hypothetical protein"	""	NA	"g005470"	""
"g008504"	"g008504"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001541385:PMFIBKCK_01193"	"GCF_001541385:NZ_LJGP01000038.1:7068-8012"	"Apulose-4-phosphate transketolase subunit B"	"2.2.1.-"	NA	"g005517"	"K00615"
"g008529"	"g008529"	0.000874125874125875	0	0	0	0.857142857142857	"GCF_001541385:PMFIBKCK_01221"	"GCF_001541385:NZ_LJGP01000039.1:1493-2413"	"Beta-glucoside kinase"	"2.7.1.85"	NA	"g005522"	""
"g008599"	"g008599"	0.0192307692307692	1	0	1	0.428571428571429	"GCF_001541385:PMFIBKCK_01576"	"GCF_001541385:NZ_LJGP01000053.1:11164-13827"	"DNA polymerase I"	"2.7.7.7"	NA	"g005564"	""
"g008608"	"g008608"	8.74125874125873e-05	0	1	0	1	"GCF_001541385:PMFIBKCK_01593"	"GCF_001541385:NZ_LJGP01000055.1:185-1378"	"S-layer protein"	""	NA	"g005579"	""
"g008615"	"g008615"	0.0405594405594406	1	0	0.777777777777778	0.142857142857143	"GCF_001541385:PMFIBKCK_01606"	"GCF_001541385:NZ_LJGP01000059.1:2030-819"	"hypothetical protein"	""	NA	"g005586"	""
"g008790"	"g008790"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001541405:HGGFLJFM_00465"	"GCF_001541405:NZ_LJGQ01000137.1:5941-5618"	"PTS system fructose-specific EIIABC component"	""	NA	"g005868"	"K02770"
"g008791"	"g008791"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001541405:HGGFLJFM_00481"	"GCF_001541405:NZ_LJGQ01000014.1:3868-3263"	"hypothetical protein"	""	NA	"g005692"	""
"g008821"	"g008821"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001541405:HGGFLJFM_00864"	"GCF_001541405:NZ_LJGQ01000225.1:48-320"	"hypothetical protein"	""	NA	"g005894"	""
"g008847"	"g008847"	8.74125874125873e-05	1	0	1	0	"GCF_001541405:HGGFLJFM_01143"	"GCF_001541405:NZ_LJGQ01000032.1:1066-1311"	"hypothetical protein"	""	NA	"g005707"	""
"g008914"	"g008914"	0.000874125874125875	0	0	0	0.857142857142857	"GCF_001541405:HGGFLJFM_01269"	"GCF_001541405:NZ_LJGQ01000033.1:43163-42879"	"hypothetical protein"	""	NA	"g005765"	""
"g008941"	"g008941"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001541405:HGGFLJFM_01346"	"GCF_001541405:NZ_LJGQ01000035.1:37073-35889"	"putative peptidoglycan glycosyltransferase FtsW"	"2.4.1.129"	NA	"g005802"	"K03588"
"g008950"	"g008950"	8.74125874125873e-05	1	0	1	0	"GCF_001541405:HGGFLJFM_01707"	"GCF_001541405:NZ_LJGQ01000048.1:21596-21237"	"hypothetical protein"	""	NA	"g005810"	""
"g008963"	"g008963"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001541405:HGGFLJFM_01878"	"GCF_001541405:NZ_LJGQ01000054.1:50286-50480"	"hypothetical protein"	""	NA	"g005821"	""
"g009002"	"g009002"	0.0192307692307692	0	0	0	0.571428571428571	"GCF_001541505:BCCLJHBD_00075"	"GCF_001541505:NZ_LJOL01000102.1:2031-2330"	"hypothetical protein"	""	NA	"g005992"	""
"g009036"	"g009036"	8.74125874125873e-05	0	1	0	1	"GCF_001541505:BCCLJHBD_00393"	"GCF_001541505:NZ_LJOL01000119.1:5796-5365"	"Ornithine carbamoyltransferase, catabolic"	"2.1.3.3"	NA	"g006025"	""
"g009045"	"g009045"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001541505:BCCLJHBD_00621"	"GCF_001541505:NZ_LJOL01000014.1:3262-4182"	"Multiple sugar-binding protein"	""	NA	"g005916"	"K10117"
"g009047"	"g009047"	0.00480769230769231	0	0	0	0.714285714285714	"GCF_001541505:BCCLJHBD_00638"	"GCF_001541505:NZ_LJOL01000141.1:9247-10479"	"Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU"	"2.7.8.-"	NA	"g006033"	""
"g009136"	"g009136"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001541505:BCCLJHBD_01530"	"GCF_001541505:NZ_LJOL01000055.1:12437-12207"	"hypothetical protein"	""	NA	"g005950"	""
"g009172"	"g009172"	0.0013986013986014	0	1	0.111111111111111	1	"GCF_001541505:BCCLJHBD_02368"	"GCF_001541505:NZ_LJOL01000099.1:7215-7553"	"hypothetical protein"	""	NA	"g005990"	""
"g009175"	"g009175"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001541515:DLJLJIKN_00005"	"GCF_001541515:NZ_LJOK01000001.1:6452-6291"	"Lactose permease"	""	NA	"g006081"	""
"g009224"	"g009224"	0.0192307692307692	1	0	1	0.428571428571429	"GCF_001541515:DLJLJIKN_00894"	"GCF_001541515:NZ_LJOK01000185.1:65-1036"	"hypothetical protein"	""	NA	"g006181"	""
"g009236"	"g009236"	8.74125874125873e-05	0	1	0	1	"GCF_001541515:DLJLJIKN_01014"	"GCF_001541515:NZ_LJOK01000228.1:358-507"	"hypothetical protein"	""	NA	"g006190"	""
"g009242"	"g009242"	0.0336538461538462	1	1	0.444444444444444	1	"GCF_001541515:DLJLJIKN_01058"	"GCF_001541515:NZ_LJOK01000242.1:166-765"	"hypothetical protein"	""	NA	"g006194"	""
"g009281"	"g009281"	8.74125874125873e-05	0	0	0	1	"GCF_001541515:DLJLJIKN_02248"	"GCF_001541515:NZ_LJOK01000088.1:1457-2029"	"hypothetical protein"	""	NA	"g006126"	""
"g009432"	"g009432"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001541585:BPGJMLIH_00014"	"GCF_001541585:NZ_LJON01000010.1:1299-922"	"hypothetical protein"	""	NA	"g006355"	""
"g009478"	"g009478"	0.0113636363636364	0	1	0.333333333333333	1	"GCF_001541585:BPGJMLIH_00751"	"GCF_001541585:NZ_LJON01000180.1:6229-6498"	"hypothetical protein"	""	NA	"g006506"	""
"g009480"	"g009480"	8.74125874125873e-05	1	0	1	0	"GCF_001541585:BPGJMLIH_00784"	"GCF_001541585:NZ_LJON01000191.1:971-267"	"Sporulation initiation inhibitor protein Soj"	"3.6.-.-"	NA	"g006507"	"K03496"
"g009481"	"g009481"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001541585:BPGJMLIH_00789"	"GCF_001541585:NZ_LJON01000196.1:1960-1175"	"ABC transporter glutamine-binding protein GlnH"	""	NA	"g006508"	"K10039"
"g009482"	"g009482"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001541585:BPGJMLIH_00791"	"GCF_001541585:NZ_LJON01000197.1:2246-2109"	"hypothetical protein"	""	NA	"g006509"	""
"g009485"	"g009485"	8.74125874125873e-05	0	1	0	1	"GCF_001541585:BPGJMLIH_00877"	"GCF_001541585:NZ_LJON01000207.1:5450-4752"	"hypothetical protein"	""	NA	"g006512"	""
"g009503"	"g009503"	0.0192307692307692	0	1	0	0.571428571428571	"GCF_001541585:BPGJMLIH_01059"	"GCF_001541585:NZ_LJON01000029.1:1748-1864"	"hypothetical protein"	""	NA	"g006372"	""
"g009511"	"g009511"	0.000874125874125875	1	1	1	0.142857142857143	"GCF_001541585:BPGJMLIH_01132"	"GCF_001541585:NZ_LJON01000003.1:54780-54517"	"hypothetical protein"	""	NA	"g006342"	""
"g009579"	"g009579"	0.00480769230769231	0	0	0	0.714285714285714	"GCF_001541585:BPGJMLIH_02168"	"GCF_001541585:NZ_LJON01000079.1:52833-53471"	"hypothetical protein"	""	NA	"g006431"	""
"g009582"	"g009582"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001541585:BPGJMLIH_02172"	"GCF_001541585:NZ_LJON01000079.1:54982-55233"	"hypothetical protein"	""	NA	"g006434"	""
"g009660"	"g009660"	0.0113636363636364	0	0	0.666666666666667	0	"GCF_001546015:IJCEBGGB_00749"	"GCF_001546015:NZ_LJCZ01000178.1:241-717"	"hypothetical protein"	""	NA	"g006595"	""
"g009662"	"g009662"	0.0113636363636364	0	0	0.666666666666667	0	"GCF_001546015:IJCEBGGB_00776"	"GCF_001546015:NZ_LJCZ01000188.1:1231-89"	"putative multidrug resistance ABC transporter ATP-binding/permease protein YheH"	"3.6.3.-"	NA	"g006597"	"K18890"
"g009665"	"g009665"	0.0336538461538462	0	0	0.555555555555556	0	"GCF_001546015:IJCEBGGB_00780"	"GCF_001546015:NZ_LJCZ01000188.1:4278-4012"	"hypothetical protein"	""	NA	"g006600"	""
"g009667"	"g009667"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001546015:IJCEBGGB_00783"	"GCF_001546015:NZ_LJCZ01000189.1:154-501"	"hypothetical protein"	""	NA	"g006602"	""
"g009668"	"g009668"	0.00323426573426573	0	0	0.777777777777778	0	"GCF_001546015:IJCEBGGB_00800"	"GCF_001546015:NZ_LJCZ01000196.1:1720-2106"	"hypothetical protein"	""	NA	"g006603"	""
"g009706"	"g009706"	0.00480769230769231	0	0	0	0.714285714285714	"GCF_001546015:IJCEBGGB_01602"	"GCF_001546015:NZ_LJCZ01000067.1:285-659"	"Transcriptional regulator MtlR"	""	NA	"g006544"	"K03483"
"g009714"	"g009714"	8.74125874125873e-05	1	0	1	0	"GCF_001546015:IJCEBGGB_01983"	"GCF_001546015:NZ_LJCZ01000091.1:12068-11766"	"hypothetical protein"	""	NA	"g006550"	""
"g009716"	"g009716"	8.74125874125873e-05	1	0	1	0	"GCF_001546015:IJCEBGGB_02063"	"GCF_001546015:NZ_LJCZ01000095.1:10422-9940"	"hypothetical protein"	""	NA	"g006553"	""
"g009745"	"g009745"	0.000874125874125875	1	1	1	0.142857142857143	"GCF_001546025:NGIPBJAB_00174"	"GCF_001546025:NZ_LJDA01000116.1:137-2455"	"hypothetical protein"	""	NA	"g006771"	""
"g009747"	"g009747"	0.000874125874125875	0	0	0	0.857142857142857	"GCF_001546025:NGIPBJAB_00194"	"GCF_001546025:NZ_LJDA01000118.1:9600-8878"	"AB hydrolase superfamily protein YdjP"	"3.-.-.-"	NA	"g006773"	""
"g009790"	"g009790"	0.000874125874125875	1	1	1	0.142857142857143	"GCF_001546025:NGIPBJAB_00660"	"GCF_001546025:NZ_LJDA01000019.1:6119-6358"	"hypothetical protein"	""	NA	"g006676"	""
"g009872"	"g009872"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001546025:NGIPBJAB_01624"	"GCF_001546025:NZ_LJDA01000066.1:13945-13115"	"hypothetical protein"	""	NA	"g006719"	""
"g009885"	"g009885"	0.0336538461538462	0	1	0.444444444444444	1	"GCF_001546025:NGIPBJAB_01875"	"GCF_001546025:NZ_LJDA01000074.1:81-1172"	"Cardiolipin synthase"	"2.7.8.-"	NA	"g006730"	"K06131"
"g009890"	"g009890"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001546025:NGIPBJAB_01925"	"GCF_001546025:NZ_LJDA01000078.1:5173-5502"	"Pantothenate kinase"	"2.7.1.33"	NA	"g006735"	"K00867"
"g009971"	"g009971"	0.0113636363636364	1	1	0.333333333333333	1	"GCF_001563615:MHLBEFNA_00885"	"GCF_001563615:NZ_KQ961526.1:47330-47067"	"hypothetical protein"	""	NA	"g006875"	""
"g010028"	"g010028"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001563615:MHLBEFNA_01539"	"GCF_001563615:NZ_KQ961587.1:7345-7214"	"hypothetical protein"	""	NA	"g006934"	""
"g010062"	"g010062"	0.0113636363636364	0	1	0.333333333333333	1	"GCF_001563615:MHLBEFNA_01988"	"GCF_001563615:NZ_KQ961632.1:5924-5769"	"hypothetical protein"	""	NA	"g006965"	""
"g010124"	"g010124"	0.0013986013986014	0	0	0.111111111111111	1	"GCF_001567095:HNILBHAK_00310"	"GCF_001567095:NZ_LSVK01000001.1:286978-287307"	"hypothetical protein"	""	NA	"g007021"	""
"g010125"	"g010125"	8.74125874125873e-05	0	1	0	1	"GCF_001567095:HNILBHAK_00311"	"GCF_001567095:NZ_LSVK01000001.1:287532-291815"	"hypothetical protein"	""	NA	"g007022"	""
"g010151"	"g010151"	8.74125874125873e-05	0	1	0	1	"GCF_001567095:HNILBHAK_00564"	"GCF_001567095:NZ_LSVK01000004.1:170768-170601"	"hypothetical protein"	""	NA	"g007106"	""
"g010154"	"g010154"	0.000874125874125875	0	0	0	0.857142857142857	"GCF_001567095:HNILBHAK_00732"	"GCF_001567095:NZ_LSVK01000004.1:334451-336049"	"hypothetical protein"	""	NA	"g007117"	""
"g010158"	"g010158"	8.74125874125873e-05	0	1	0	1	"GCF_001567095:HNILBHAK_00740"	"GCF_001567095:NZ_LSVK01000004.1:342943-343593"	"hypothetical protein"	""	NA	"g007121"	""
"g010173"	"g010173"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001567095:HNILBHAK_00867"	"GCF_001567095:NZ_LSVK01000004.1:467413-467511"	"hypothetical protein"	""	NA	"g007139"	""
"g010174"	"g010174"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001567095:HNILBHAK_00869"	"GCF_001567095:NZ_LSVK01000004.1:468373-477633"	"hypothetical protein"	""	NA	"g007140"	""
"g010175"	"g010175"	0.0013986013986014	1	0	0.888888888888889	0	"GCF_001567095:HNILBHAK_00875"	"GCF_001567095:NZ_LSVK01000004.1:481669-482766"	"hypothetical protein"	""	NA	"g007141"	""
"g010176"	"g010176"	0.0336538461538462	1	0	0.555555555555556	0	"GCF_001567095:HNILBHAK_00876"	"GCF_001567095:NZ_LSVK01000004.1:483133-483657"	"hypothetical protein"	""	NA	"g007142"	""
"g010278"	"g010278"	0.0113636363636364	1	0	0.666666666666667	0	"GCF_001567095:HNILBHAK_01522"	"GCF_001567095:NZ_LSVK01000004.1:1158551-1157124"	"hypothetical protein"	""	NA	"g007086"	""
"g010279"	"g010279"	8.74125874125873e-05	1	0	1	0	"GCF_001567095:HNILBHAK_01525"	"GCF_001567095:NZ_LSVK01000004.1:1163257-1162502"	"hypothetical protein"	""	NA	"g007087"	""
"g010319"	"g010319"	0.00323426573426573	1	0	0.777777777777778	0	"GCF_001567095:HNILBHAK_01819"	"GCF_001567095:NZ_LSVK01000007.1:206922-206656"	"hypothetical protein"	""	NA	"g007211"	""
"g010343"	"g010343"	8.74125874125873e-05	1	0	1	0	"GCF_001567095:HNILBHAK_01951"	"GCF_001567095:NZ_LSVK01000007.1:319998-320486"	"hypothetical protein"	""	NA	"g007235"	""
"g010344"	"g010344"	0.00874125874125874	0	0	0.111111111111111	0.857142857142857	"GCF_001567095:HNILBHAK_01952"	"GCF_001567095:NZ_LSVK01000007.1:320576-321511"	"hypothetical protein"	""	NA	"g007237"	""
