Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g000686	GCF_000168255:NZ_AAPZ02000001.1:423296-422517	GCF_000168255:BCKNHIHC_01222	hypothetical protein		
g000687	GCF_000168255:NZ_AAPZ02000001.1:426279-425914	GCF_000168255:BCKNHIHC_01224	hypothetical protein		
g000688	GCF_000168255:NZ_AAPZ02000001.1:427675-427283	GCF_000168255:BCKNHIHC_01227	hypothetical protein		
g000689	GCF_000168255:NZ_AAPZ02000001.1:435088-434654	GCF_000168255:BCKNHIHC_01237	hypothetical protein		
g000690	GCF_000168255:NZ_AAPZ02000001.1:436447-435839	GCF_000168255:BCKNHIHC_01239	hypothetical protein		
g000691	GCF_000168255:NZ_AAPZ02000001.1:437429-437253	GCF_000168255:BCKNHIHC_01241	hypothetical protein		
g000692	GCF_000168255:NZ_AAPZ02000001.1:437818-437435	GCF_000168255:BCKNHIHC_01242	hypothetical protein		
g000693	GCF_000168255:NZ_AAPZ02000001.1:438275-438054	GCF_000168255:BCKNHIHC_01244	hypothetical protein		
g000694	GCF_000168255:NZ_AAPZ02000001.1:438498-438262	GCF_000168255:BCKNHIHC_01245	hypothetical protein		
g000695	GCF_000168255:NZ_AAPZ02000001.1:438823-438485	GCF_000168255:BCKNHIHC_01246	hypothetical protein		
g000696	GCF_000168255:NZ_AAPZ02000001.1:444008-442638	GCF_000168255:BCKNHIHC_01252	Putative DNA repair helicase RadD	3.6.4.12	
g000697	GCF_000168255:NZ_AAPZ02000001.1:445638-445312	GCF_000168255:BCKNHIHC_01257	hypothetical protein		
g000698	GCF_000168255:NZ_AAPZ02000001.1:445805-445644	GCF_000168255:BCKNHIHC_01258	hypothetical protein		
g000699	GCF_000168255:NZ_AAPZ02000001.1:446626-445832	GCF_000168255:BCKNHIHC_01259	hypothetical protein		
g000700	GCF_000168255:NZ_AAPZ02000001.1:446830-446627	GCF_000168255:BCKNHIHC_01260	hypothetical protein		
g000701	GCF_000168255:NZ_AAPZ02000001.1:447079-447435	GCF_000168255:BCKNHIHC_01261	hypothetical protein		
g000702	GCF_000168255:NZ_AAPZ02000001.1:447443-448294	GCF_000168255:BCKNHIHC_01262	hypothetical protein		
g000703	GCF_000168255:NZ_AAPZ02000001.1:448357-448812	GCF_000168255:BCKNHIHC_01263	hypothetical protein		
g000704	GCF_000168255:NZ_AAPZ02000001.1:45768-46196	GCF_000168255:BCKNHIHC_00786	hypothetical protein		
g000705	GCF_000168255:NZ_AAPZ02000001.1:466987-467724	GCF_000168255:BCKNHIHC_01289	hypothetical protein		
g000706	GCF_000168255:NZ_AAPZ02000001.1:47875-48396	GCF_000168255:BCKNHIHC_00788	hypothetical protein		
g000707	GCF_000168255:NZ_AAPZ02000001.1:495005-493518	GCF_000168255:BCKNHIHC_01305	hypothetical protein		
g000708	GCF_000168255:NZ_AAPZ02000001.1:498591-497626	GCF_000168255:BCKNHIHC_01307	putative glycosyltransferase YkoT	2.4.-.-	
g000709	GCF_000168255:NZ_AAPZ02000001.1:499248-498613	GCF_000168255:BCKNHIHC_01308	hypothetical protein		
g000710	GCF_000168255:NZ_AAPZ02000001.1:499967-499248	GCF_000168255:BCKNHIHC_01309	hypothetical protein		
g000711	GCF_000168255:NZ_AAPZ02000001.1:501445-500633	GCF_000168255:BCKNHIHC_01310	hypothetical protein		
g000712	GCF_000168255:NZ_AAPZ02000001.1:505440-503689	GCF_000168255:BCKNHIHC_01313	hypothetical protein		
g000713	GCF_000168255:NZ_AAPZ02000001.1:507164-505632	GCF_000168255:BCKNHIHC_01314	hypothetical protein		
g000714	GCF_000168255:NZ_AAPZ02000001.1:515220-512068	GCF_000168255:BCKNHIHC_01319	hypothetical protein		
g000715	GCF_000168255:NZ_AAPZ02000001.1:517194-515305	GCF_000168255:BCKNHIHC_01320	hypothetical protein		
g000716	GCF_000168255:NZ_AAPZ02000001.1:552094-552618	GCF_000168255:BCKNHIHC_01355	hypothetical protein		
g000717	GCF_000168255:NZ_AAPZ02000001.1:552672-553031	GCF_000168255:BCKNHIHC_01356	hypothetical protein		
g000718	GCF_000168255:NZ_AAPZ02000001.1:556831-558012	GCF_000168255:BCKNHIHC_01361	Ammonia channel		
g000719	GCF_000168255:NZ_AAPZ02000001.1:567035-563328	GCF_000168255:BCKNHIHC_01370	hypothetical protein		
g000720	GCF_000168255:NZ_AAPZ02000001.1:572402-571782	GCF_000168255:BCKNHIHC_01375	hypothetical protein		
g000721	GCF_000168255:NZ_AAPZ02000001.1:573978-572878	GCF_000168255:BCKNHIHC_01376	Group II intron-encoded protein LtrA		
g000722	GCF_000168255:NZ_AAPZ02000001.1:578346-577828	GCF_000168255:BCKNHIHC_01383	hypothetical protein		
g000723	GCF_000168255:NZ_AAPZ02000001.1:578472-579983	GCF_000168255:BCKNHIHC_01384	Fatty acid resistance protein FarB		
g000724	GCF_000168255:NZ_AAPZ02000001.1:582590-582162	GCF_000168255:BCKNHIHC_01388	hypothetical protein		
g000725	GCF_000168255:NZ_AAPZ02000001.1:584556-583570	GCF_000168255:BCKNHIHC_01390	hypothetical protein		
g000726	GCF_000168255:NZ_AAPZ02000001.1:586432-585062	GCF_000168255:BCKNHIHC_01391	putative RNA methyltransferase	2.1.1.-	
g000727	GCF_000168255:NZ_AAPZ02000001.1:596372-594099	GCF_000168255:BCKNHIHC_01398	ATP-dependent DNA helicase PcrA	3.6.4.12	
g000728	GCF_000168255:NZ_AAPZ02000001.1:615636-615430	GCF_000168255:BCKNHIHC_01429	50S ribosomal protein L29		
g000729	GCF_000168255:NZ_AAPZ02000001.1:624893-624393	GCF_000168255:BCKNHIHC_01441	hypothetical protein		
g000730	GCF_000168255:NZ_AAPZ02000001.1:690683-690243	GCF_000168255:BCKNHIHC_01502	hypothetical protein		
g000731	GCF_000168255:NZ_AAPZ02000001.1:690913-691626	GCF_000168255:BCKNHIHC_01503	hypothetical protein		
g000732	GCF_000168255:NZ_AAPZ02000001.1:691804-692460	GCF_000168255:BCKNHIHC_01504	Putative transposase InsK for insertion sequence element IS150		
g000733	GCF_000168255:NZ_AAPZ02000001.1:704346-704807	GCF_000168255:BCKNHIHC_01513	putative ABC transporter ATP-binding protein		
g000734	GCF_000168255:NZ_AAPZ02000001.1:710035-707903	GCF_000168255:BCKNHIHC_01517	hypothetical protein		
g000735	GCF_000168255:NZ_AAPZ02000001.1:714944-714693	GCF_000168255:BCKNHIHC_01522	hypothetical protein		
g000736	GCF_000168255:NZ_AAPZ02000001.1:718051-714947	GCF_000168255:BCKNHIHC_01523	Chromosome partition protein Smc		
g000737	GCF_000168255:NZ_AAPZ02000001.1:718243-718590	GCF_000168255:BCKNHIHC_01524	hypothetical protein		
g000738	GCF_000168255:NZ_AAPZ02000001.1:727771-727424	GCF_000168255:BCKNHIHC_01533	hypothetical protein		
g000739	GCF_000168255:NZ_AAPZ02000001.1:737257-737000	GCF_000168255:BCKNHIHC_01544	Putative fluoride ion transporter CrcB		
g000740	GCF_000168255:NZ_AAPZ02000001.1:73804-75705	GCF_000168255:BCKNHIHC_00809	hypothetical protein		
g000741	GCF_000168255:NZ_AAPZ02000001.1:749880-750128	GCF_000168255:BCKNHIHC_01559	putative mannose-6-phosphate isomerase GmuF	5.3.1.8	
g000742	GCF_000168255:NZ_AAPZ02000001.1:750791-751063	GCF_000168255:BCKNHIHC_01560	hypothetical protein		
g000743	GCF_000168255:NZ_AAPZ02000001.1:760002-754516	GCF_000168255:BCKNHIHC_01564	hypothetical protein		
g000744	GCF_000168255:NZ_AAPZ02000001.1:774417-760513	GCF_000168255:BCKNHIHC_01565	hypothetical protein		
g000745	GCF_000168255:NZ_AAPZ02000001.1:7752-7327	GCF_000168255:BCKNHIHC_00750	hypothetical protein		
g000746	GCF_000168255:NZ_AAPZ02000001.1:787292-774867	GCF_000168255:BCKNHIHC_01566	hypothetical protein		
g000747	GCF_000168255:NZ_AAPZ02000001.1:790726-788426	GCF_000168255:BCKNHIHC_01568	hypothetical protein		
g000748	GCF_000168255:NZ_AAPZ02000001.1:7969-8691	GCF_000168255:BCKNHIHC_00751	hypothetical protein		
g000749	GCF_000168255:NZ_AAPZ02000001.1:799605-799018	GCF_000168255:BCKNHIHC_01577	hypothetical protein		
g000750	GCF_000168255:NZ_AAPZ02000001.1:804615-803545	GCF_000168255:BCKNHIHC_01583	hypothetical protein		
g000751	GCF_000168255:NZ_AAPZ02000001.1:806395-806724	GCF_000168255:BCKNHIHC_01586	hypothetical protein		
g000752	GCF_000168255:NZ_AAPZ02000001.1:807040-807618	GCF_000168255:BCKNHIHC_01587	hypothetical protein		
g000753	GCF_000168255:NZ_AAPZ02000001.1:809726-809001	GCF_000168255:BCKNHIHC_01589	hypothetical protein		
g000754	GCF_000168255:NZ_AAPZ02000001.1:810462-809728	GCF_000168255:BCKNHIHC_01590	Purine nucleoside phosphorylase DeoD-type	2.4.2.1	
g000755	GCF_000168255:NZ_AAPZ02000001.1:828392-826065	GCF_000168255:BCKNHIHC_01604	DNA helicase IV	3.6.4.12	
g000756	GCF_000168255:NZ_AAPZ02000001.1:828592-829242	GCF_000168255:BCKNHIHC_01605	Protein DedA		
g000757	GCF_000168255:NZ_AAPZ02000001.1:862946-862359	GCF_000168255:BCKNHIHC_01636	hypothetical protein		
g000758	GCF_000168255:NZ_AAPZ02000001.1:868098-865399	GCF_000168255:BCKNHIHC_01639	hypothetical protein		
g000759	GCF_000168255:NZ_AAPZ02000001.1:871983-868117	GCF_000168255:BCKNHIHC_01640	hypothetical protein		
g000760	GCF_000168255:NZ_AAPZ02000001.1:872224-872976	GCF_000168255:BCKNHIHC_01641	Accessory gene regulator protein A		
g000761	GCF_000168255:NZ_AAPZ02000001.1:874129-874380	GCF_000168255:BCKNHIHC_01643	hypothetical protein		
g000762	GCF_000168255:NZ_AAPZ02000001.1:875872-877032	GCF_000168255:BCKNHIHC_01645	hypothetical protein		
g000763	GCF_000168255:NZ_AAPZ02000001.1:877800-877078	GCF_000168255:BCKNHIHC_01646	hypothetical protein		
g000764	GCF_000168255:NZ_AAPZ02000001.1:8796-9194	GCF_000168255:BCKNHIHC_00752	hypothetical protein		
g000765	GCF_000168255:NZ_AAPZ02000001.1:925066-924542	GCF_000168255:BCKNHIHC_01690	hypothetical protein		
g000766	GCF_000168255:NZ_AAPZ02000001.1:985559-985861	GCF_000168255:BCKNHIHC_01749	hypothetical protein		
g000767	GCF_000168255:NZ_AAPZ02000001.1:986096-986320	GCF_000168255:BCKNHIHC_01750	hypothetical protein		
g000768	GCF_000168255:NZ_AAPZ02000001.1:992894-994216	GCF_000168255:BCKNHIHC_01759	Multidrug export protein MepA		
g000769	GCF_000168255:NZ_AAPZ02000002.1:100058-100660	GCF_000168255:BCKNHIHC_00100	hypothetical protein		
g000770	GCF_000168255:NZ_AAPZ02000002.1:100660-101169	GCF_000168255:BCKNHIHC_00101	hypothetical protein		
g000771	GCF_000168255:NZ_AAPZ02000002.1:101434-101559	GCF_000168255:BCKNHIHC_00103	hypothetical protein		
g000772	GCF_000168255:NZ_AAPZ02000002.1:101556-101831	GCF_000168255:BCKNHIHC_00104	hypothetical protein		
g000773	GCF_000168255:NZ_AAPZ02000002.1:101840-102061	GCF_000168255:BCKNHIHC_00105	hypothetical protein		
g000774	GCF_000168255:NZ_AAPZ02000002.1:102048-102290	GCF_000168255:BCKNHIHC_00106	hypothetical protein		
g000775	GCF_000168255:NZ_AAPZ02000002.1:103666-104085	GCF_000168255:BCKNHIHC_00111	hypothetical protein		
g000776	GCF_000168255:NZ_AAPZ02000002.1:110158-110703	GCF_000168255:BCKNHIHC_00122	hypothetical protein		
g000777	GCF_000168255:NZ_AAPZ02000002.1:110712-111467	GCF_000168255:BCKNHIHC_00123	hypothetical protein		
g000778	GCF_000168255:NZ_AAPZ02000002.1:111484-111858	GCF_000168255:BCKNHIHC_00124	hypothetical protein		
g000779	GCF_000168255:NZ_AAPZ02000002.1:111871-112317	GCF_000168255:BCKNHIHC_00125	hypothetical protein		
g000780	GCF_000168255:NZ_AAPZ02000002.1:113044-113352	GCF_000168255:BCKNHIHC_00128	hypothetical protein		
g000781	GCF_000168255:NZ_AAPZ02000002.1:113565-113756	GCF_000168255:BCKNHIHC_00130	hypothetical protein		
g000782	GCF_000168255:NZ_AAPZ02000002.1:113777-113950	GCF_000168255:BCKNHIHC_00131	hypothetical protein		
g000783	GCF_000168255:NZ_AAPZ02000002.1:114581-114967	GCF_000168255:BCKNHIHC_00132	hypothetical protein		
g000784	GCF_000168255:NZ_AAPZ02000002.1:114973-115761	GCF_000168255:BCKNHIHC_00133	hypothetical protein		
g000785	GCF_000168255:NZ_AAPZ02000002.1:115819-116562	GCF_000168255:BCKNHIHC_00134	Nicotinamide riboside transporter PnuC		
g000786	GCF_000168255:NZ_AAPZ02000002.1:116776-117036	GCF_000168255:BCKNHIHC_00135	hypothetical protein		
g000787	GCF_000168255:NZ_AAPZ02000002.1:117427-117621	GCF_000168255:BCKNHIHC_00136	hypothetical protein		
g000788	GCF_000168255:NZ_AAPZ02000002.1:117671-118075	GCF_000168255:BCKNHIHC_00137	hypothetical protein		
g000789	GCF_000168255:NZ_AAPZ02000002.1:118318-119268	GCF_000168255:BCKNHIHC_00138	hypothetical protein		
g000790	GCF_000168255:NZ_AAPZ02000002.1:119274-119591	GCF_000168255:BCKNHIHC_00139	hypothetical protein		
g000791	GCF_000168255:NZ_AAPZ02000002.1:119578-120216	GCF_000168255:BCKNHIHC_00140	hypothetical protein		
g000792	GCF_000168255:NZ_AAPZ02000002.1:121657-121905	GCF_000168255:BCKNHIHC_00143	hypothetical protein		
g000793	GCF_000168255:NZ_AAPZ02000002.1:122481-122633	GCF_000168255:BCKNHIHC_00146	hypothetical protein		
g000794	GCF_000168255:NZ_AAPZ02000002.1:123346-123576	GCF_000168255:BCKNHIHC_00149	hypothetical protein		
g000795	GCF_000168255:NZ_AAPZ02000002.1:123579-123797	GCF_000168255:BCKNHIHC_00150	hypothetical protein		
g000796	GCF_000168255:NZ_AAPZ02000002.1:123811-124209	GCF_000168255:BCKNHIHC_00151	hypothetical protein		
g000797	GCF_000168255:NZ_AAPZ02000002.1:124223-124447	GCF_000168255:BCKNHIHC_00152	hypothetical protein		
g000798	GCF_000168255:NZ_AAPZ02000002.1:124847-125032	GCF_000168255:BCKNHIHC_00153	hypothetical protein		
g000799	GCF_000168255:NZ_AAPZ02000002.1:125301-125633	GCF_000168255:BCKNHIHC_00154	hypothetical protein		
g000800	GCF_000168255:NZ_AAPZ02000002.1:126385-126867	GCF_000168255:BCKNHIHC_00156	hypothetical protein		
g000801	GCF_000168255:NZ_AAPZ02000002.1:126896-127627	GCF_000168255:BCKNHIHC_00157	hypothetical protein		
g000802	GCF_000168255:NZ_AAPZ02000002.1:127828-129168	GCF_000168255:BCKNHIHC_00158	hypothetical protein		
g000803	GCF_000168255:NZ_AAPZ02000002.1:131255-132424	GCF_000168255:BCKNHIHC_00161	hypothetical protein		
g000804	GCF_000168255:NZ_AAPZ02000002.1:132599-132384	GCF_000168255:BCKNHIHC_00162	hypothetical protein		
g000805	GCF_000168255:NZ_AAPZ02000002.1:132785-133219	GCF_000168255:BCKNHIHC_00163	hypothetical protein		
g000806	GCF_000168255:NZ_AAPZ02000002.1:133225-133581	GCF_000168255:BCKNHIHC_00164	hypothetical protein		
g000807	GCF_000168255:NZ_AAPZ02000002.1:133574-134056	GCF_000168255:BCKNHIHC_00165	hypothetical protein		
g000808	GCF_000168255:NZ_AAPZ02000002.1:134059-134442	GCF_000168255:BCKNHIHC_00166	hypothetical protein		
g000809	GCF_000168255:NZ_AAPZ02000002.1:134445-135149	GCF_000168255:BCKNHIHC_00167	hypothetical protein		
g000810	GCF_000168255:NZ_AAPZ02000002.1:135291-135701	GCF_000168255:BCKNHIHC_00168	hypothetical protein		
g000811	GCF_000168255:NZ_AAPZ02000002.1:135941-141766	GCF_000168255:BCKNHIHC_00169	Chromosome partition protein Smc		
g000812	GCF_000168255:NZ_AAPZ02000002.1:141782-142621	GCF_000168255:BCKNHIHC_00170	hypothetical protein		
g000813	GCF_000168255:NZ_AAPZ02000002.1:144715-145008	GCF_000168255:BCKNHIHC_00173	hypothetical protein		
g000814	GCF_000168255:NZ_AAPZ02000002.1:145008-147647	GCF_000168255:BCKNHIHC_00174	hypothetical protein		
g000815	GCF_000168255:NZ_AAPZ02000002.1:147651-148010	GCF_000168255:BCKNHIHC_00175	hypothetical protein		
g000816	GCF_000168255:NZ_AAPZ02000002.1:148010-148162	GCF_000168255:BCKNHIHC_00176	hypothetical protein		
g000817	GCF_000168255:NZ_AAPZ02000002.1:148340-148630	GCF_000168255:BCKNHIHC_00177	hypothetical protein		
g000818	GCF_000168255:NZ_AAPZ02000002.1:148645-149073	GCF_000168255:BCKNHIHC_00178	hypothetical protein		
g000819	GCF_000168255:NZ_AAPZ02000002.1:149075-150181	GCF_000168255:BCKNHIHC_00179	hypothetical protein		
g000820	GCF_000168255:NZ_AAPZ02000002.1:150415-151140	GCF_000168255:BCKNHIHC_00180	hypothetical protein		
g000821	GCF_000168255:NZ_AAPZ02000002.1:174182-175012	GCF_000168255:BCKNHIHC_00203	Protein LacX, plasmid		
g000822	GCF_000168255:NZ_AAPZ02000002.1:199687-200880	GCF_000168255:BCKNHIHC_00228	hypothetical protein		
g000823	GCF_000168255:NZ_AAPZ02000002.1:203094-201937	GCF_000168255:BCKNHIHC_00230	hypothetical protein		
g000824	GCF_000168255:NZ_AAPZ02000002.1:204141-204536	GCF_000168255:BCKNHIHC_00232	hypothetical protein		
g000825	GCF_000168255:NZ_AAPZ02000002.1:204487-205077	GCF_000168255:BCKNHIHC_00233	Mrr restriction system protein		
g000826	GCF_000168255:NZ_AAPZ02000002.1:257201-257767	GCF_000168255:BCKNHIHC_00280	hypothetical protein		
g000827	GCF_000168255:NZ_AAPZ02000002.1:273210-273584	GCF_000168255:BCKNHIHC_00296	hypothetical protein		
g000828	GCF_000168255:NZ_AAPZ02000002.1:274964-275608	GCF_000168255:BCKNHIHC_00298	hypothetical protein		
g000829	GCF_000168255:NZ_AAPZ02000002.1:281892-281509	GCF_000168255:BCKNHIHC_00305	hypothetical protein		
g000830	GCF_000168255:NZ_AAPZ02000002.1:292939-293301	GCF_000168255:BCKNHIHC_00317	hypothetical protein		
g000831	GCF_000168255:NZ_AAPZ02000002.1:294087-294410	GCF_000168255:BCKNHIHC_00319	hypothetical protein		
g000832	GCF_000168255:NZ_AAPZ02000002.1:376722-376901	GCF_000168255:BCKNHIHC_00404	hypothetical protein		
g000833	GCF_000168255:NZ_AAPZ02000002.1:383687-383992	GCF_000168255:BCKNHIHC_00411	hypothetical protein		
g000834	GCF_000168255:NZ_AAPZ02000002.1:384096-385040	GCF_000168255:BCKNHIHC_00412	Colistin resistance protein EmrB		
g000835	GCF_000168255:NZ_AAPZ02000002.1:385082-385384	GCF_000168255:BCKNHIHC_00413	hypothetical protein		
g000836	GCF_000168255:NZ_AAPZ02000002.1:46170-47504	GCF_000168255:BCKNHIHC_00038	IS1182 family transposase ISLac1		
g000837	GCF_000168255:NZ_AAPZ02000002.1:469249-469527	GCF_000168255:BCKNHIHC_00493	hypothetical protein		
g000838	GCF_000168255:NZ_AAPZ02000002.1:476370-477446	GCF_000168255:BCKNHIHC_00500	IS110 family transposase ISSsu7		
g000839	GCF_000168255:NZ_AAPZ02000002.1:491886-491287	GCF_000168255:BCKNHIHC_00514	hypothetical protein		
g000840	GCF_000168255:NZ_AAPZ02000002.1:492079-493098	GCF_000168255:BCKNHIHC_00515	Putative D-alanyl-D-alanine carboxypeptidase	3.4.16.4	
g000841	GCF_000168255:NZ_AAPZ02000002.1:53586-54032	GCF_000168255:BCKNHIHC_00044	putative protein YqeY		
g000842	GCF_000168255:NZ_AAPZ02000002.1:549316-550869	GCF_000168255:BCKNHIHC_00569	Glutamate/gamma-aminobutyrate antiporter		
g000843	GCF_000168255:NZ_AAPZ02000002.1:73603-74427	GCF_000168255:BCKNHIHC_00062	GTP cyclohydrolase 1 type 2		
g000844	GCF_000168255:NZ_AAPZ02000002.1:88213-87665	GCF_000168255:BCKNHIHC_00074	hypothetical protein		
g000845	GCF_000168255:NZ_AAPZ02000002.1:88800-88213	GCF_000168255:BCKNHIHC_00075	hypothetical protein		
g000846	GCF_000168255:NZ_AAPZ02000002.1:89184-88834	GCF_000168255:BCKNHIHC_00076	hypothetical protein		
g000847	GCF_000168255:NZ_AAPZ02000002.1:90035-89184	GCF_000168255:BCKNHIHC_00077	3'-5' exonuclease DinG	3.1.-.-	
g000848	GCF_000168255:NZ_AAPZ02000002.1:90537-90091	GCF_000168255:BCKNHIHC_00078	hypothetical protein		
g000849	GCF_000168255:NZ_AAPZ02000002.1:90976-90551	GCF_000168255:BCKNHIHC_00079	hypothetical protein		
g000850	GCF_000168255:NZ_AAPZ02000002.1:91222-91437	GCF_000168255:BCKNHIHC_00080	hypothetical protein		
g000851	GCF_000168255:NZ_AAPZ02000002.1:91421-92368	GCF_000168255:BCKNHIHC_00081	hypothetical protein		
g000852	GCF_000168255:NZ_AAPZ02000002.1:94538-94756	GCF_000168255:BCKNHIHC_00087	hypothetical protein		
g000853	GCF_000168255:NZ_AAPZ02000002.1:94763-95257	GCF_000168255:BCKNHIHC_00088	Single-stranded DNA-binding protein A		
g000854	GCF_000168255:NZ_AAPZ02000002.1:96837-97049	GCF_000168255:BCKNHIHC_00091	hypothetical protein		
g000855	GCF_000168255:NZ_AAPZ02000002.1:97717-97899	GCF_000168255:BCKNHIHC_00093	hypothetical protein		
g000856	GCF_000168255:NZ_AAPZ02000002.1:97896-98375	GCF_000168255:BCKNHIHC_00094	hypothetical protein		
g000857	GCF_000168255:NZ_AAPZ02000002.1:98621-98920	GCF_000168255:BCKNHIHC_00095	hypothetical protein		
g000858	GCF_000168255:NZ_AAPZ02000002.1:98920-99132	GCF_000168255:BCKNHIHC_00096	hypothetical protein		
g000859	GCF_000168255:NZ_AAPZ02000002.1:99132-99392	GCF_000168255:BCKNHIHC_00097	hypothetical protein		
g000860	GCF_000168255:NZ_AAPZ02000002.1:99450-99899	GCF_000168255:BCKNHIHC_00098	hypothetical protein		
g000861	GCF_000168255:NZ_AAPZ02000002.1:99862-100065	GCF_000168255:BCKNHIHC_00099	hypothetical protein		
g000862	GCF_000179435:NZ_AEAW01000001.1:3435-4067	GCF_000179435:NMCJKBKF_01996	IS110 family transposase ISSpn10		
g000863	GCF_000179435:NZ_AEAW01000001.1:4060-4659	GCF_000179435:NMCJKBKF_01997	IS110 family transposase ISSpn10		
g000864	GCF_000179435:NZ_AEAW01000002.1:47-982	GCF_000179435:NMCJKBKF_01991	Fatty acid resistance protein FarB		
g000865	GCF_000179435:NZ_AEAW01000004.1:6790-6981	GCF_000179435:NMCJKBKF_01983	hypothetical protein		
g000866	GCF_000179435:NZ_AEAW01000004.1:853-1272	GCF_000179435:NMCJKBKF_01972	hypothetical protein		
g000867	GCF_000179435:NZ_AEAW01000005.1:1166-1621	GCF_000179435:NMCJKBKF_01959	o-succinylbenzoate synthase	4.2.1.113	
g000868	GCF_000179435:NZ_AEAW01000005.1:2814-2302	GCF_000179435:NMCJKBKF_01960	Shikimate kinase	2.7.1.71	
g000869	GCF_000179435:NZ_AEAW01000005.1:3770-2982	GCF_000179435:NMCJKBKF_01961	3-phosphoshikimate 1-carboxyvinyltransferase 1	2.5.1.19	
g000870	GCF_000179435:NZ_AEAW01000005.1:4107-3835	GCF_000179435:NMCJKBKF_01962	3-phosphoshikimate 1-carboxyvinyltransferase 1	2.5.1.19	
g000871	GCF_000179435:NZ_AEAW01000005.1:7298-6486	GCF_000179435:NMCJKBKF_01965	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	4.2.99.20	
g000872	GCF_000179435:NZ_AEAW01000005.1:8953-7571	GCF_000179435:NMCJKBKF_01966	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	2.2.1.9	
g000873	GCF_000179435:NZ_AEAW01000007.1:11619-11840	GCF_000179435:NMCJKBKF_01953	hypothetical protein		
g000874	GCF_000179435:NZ_AEAW01000007.1:8644-9138	GCF_000179435:NMCJKBKF_01949	Redox-sensing transcriptional repressor Rex		
g000875	GCF_000179435:NZ_AEAW01000015.1:14390-13800	GCF_000179435:NMCJKBKF_01874	putative GTP-binding protein EngB		
g000876	GCF_000179435:NZ_AEAW01000015.1:21511-19718	GCF_000179435:NMCJKBKF_01879	Ribonuclease J 2	3.1.-.-	
g000877	GCF_000179435:NZ_AEAW01000016.1:12902-13357	GCF_000179435:NMCJKBKF_01822	hypothetical protein		
g000878	GCF_000179435:NZ_AEAW01000016.1:14370-13249	GCF_000179435:NMCJKBKF_01823	Oxygen sensor histidine kinase NreB	2.7.13.3	
g000879	GCF_000179435:NZ_AEAW01000016.1:28326-28562	GCF_000179435:NMCJKBKF_01838	hypothetical protein		
g000880	GCF_000179435:NZ_AEAW01000016.1:28564-30258	GCF_000179435:NMCJKBKF_01839	Levansucrase	2.4.1.10	
g000881	GCF_000179435:NZ_AEAW01000016.1:33107-33334	GCF_000179435:NMCJKBKF_01844	3-oxoacyl-[acyl-carrier-protein] synthase 3	2.3.1.180	
g000882	GCF_000179435:NZ_AEAW01000016.1:33300-33989	GCF_000179435:NMCJKBKF_01845	3-oxoacyl-[acyl-carrier-protein] synthase 3	2.3.1.180	
g000883	GCF_000179435:NZ_AEAW01000016.1:37169-37534	GCF_000179435:NMCJKBKF_01850	Biotin carboxyl carrier protein of acetyl-CoA carboxylase		
g000884	GCF_000179435:NZ_AEAW01000016.1:7788-9695	GCF_000179435:NMCJKBKF_01818	hypothetical protein		
g000885	GCF_000179435:NZ_AEAW01000017.1:14042-15127	GCF_000179435:NMCJKBKF_01809	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA	1.3.1.1	
g000886	GCF_000179435:NZ_AEAW01000017.1:6748-7533	GCF_000179435:NMCJKBKF_01803	hypothetical protein		
g000887	GCF_000179435:NZ_AEAW01000019.1:15179-14904	GCF_000179435:NMCJKBKF_01739	hypothetical protein		
g000888	GCF_000179435:NZ_AEAW01000019.1:15485-15291	GCF_000179435:NMCJKBKF_01740	hypothetical protein		
g000889	GCF_000179435:NZ_AEAW01000019.1:2066-2710	GCF_000179435:NMCJKBKF_01727	hypothetical protein		
g000890	GCF_000179435:NZ_AEAW01000019.1:24271-23834	GCF_000179435:NMCJKBKF_01753	hypothetical protein		
g000891	GCF_000179435:NZ_AEAW01000019.1:2676-3005	GCF_000179435:NMCJKBKF_01728	HTH-type transcriptional activator RhaS		
g000892	GCF_000179435:NZ_AEAW01000019.1:26965-26174	GCF_000179435:NMCJKBKF_01755	hypothetical protein		
g000893	GCF_000179435:NZ_AEAW01000019.1:31968-35078	GCF_000179435:NMCJKBKF_01763	hypothetical protein		
g000894	GCF_000179435:NZ_AEAW01000021.1:23888-23352	GCF_000179435:NMCJKBKF_01712	hypothetical protein		
g000895	GCF_000179435:NZ_AEAW01000021.1:24463-23885	GCF_000179435:NMCJKBKF_01713	hypothetical protein		
g000896	GCF_000179435:NZ_AEAW01000021.1:27534-26314	GCF_000179435:NMCJKBKF_01716	hypothetical protein		
g000897	GCF_000179435:NZ_AEAW01000021.1:30060-29116	GCF_000179435:NMCJKBKF_01720	Foldase protein PrsA	5.2.1.8	
g000898	GCF_000179435:NZ_AEAW01000025.1:13566-12592	GCF_000179435:NMCJKBKF_01652	hypothetical protein		
g000899	GCF_000179435:NZ_AEAW01000025.1:14942-13905	GCF_000179435:NMCJKBKF_01653	hypothetical protein		
g000900	GCF_000179435:NZ_AEAW01000025.1:16053-15508	GCF_000179435:NMCJKBKF_01654	Toxin A	3.4.22.-	
